Created as New Dataset;Sample 008 By Administrator Date maandag, maart 02 2026
cm-1;%T
4000,00;97,96
3999,00;97,94
3998,00;97,93
3997,00;97,92
3996,00;97,92
3995,00;97,94
3994,00;97,95
3993,00;97,95
3992,00;97,94
3991,00;97,94
3990,00;97,94
3989,00;97,94
3988,00;97,94
3987,00;97,93
3986,00;97,92
3985,00;97,92
3984,00;97,91
3983,00;97,91
3982,00;97,90
3981,00;97,89
3980,00;97,88
3979,00;97,86
3978,00;97,85
3977,00;97,85
3976,00;97,85
3975,00;97,85
3974,00;97,87
3973,00;97,88
3972,00;97,89
3971,00;97,90
3970,00;97,90
3969,00;97,90
3968,00;97,90
3967,00;97,90
3966,00;97,90
3965,00;97,90
3964,00;97,89
3963,00;97,88
3962,00;97,86
3961,00;97,85
3960,00;97,85
3959,00;97,85
3958,00;97,85
3957,00;97,85
3956,00;97,84
3955,00;97,82
3954,00;97,81
3953,00;97,81
3952,00;97,81
3951,00;97,81
3950,00;97,82
3949,00;97,82
3948,00;97,83
3947,00;97,84
3946,00;97,84
3945,00;97,86
3944,00;97,88
3943,00;97,89
3942,00;97,88
3941,00;97,85
3940,00;97,81
3939,00;97,79
3938,00;97,79
3937,00;97,79
3936,00;97,79
3935,00;97,78
3934,00;97,75
3933,00;97,71
3932,00;97,69
3931,00;97,69
3930,00;97,71
3929,00;97,74
3928,00;97,75
3927,00;97,75
3926,00;97,75
3925,00;97,75
3924,00;97,74
3923,00;97,73
3922,00;97,72
3921,00;97,71
3920,00;97,69
3919,00;97,67
3918,00;97,67
3917,00;97,70
3916,00;97,75
3915,00;97,80
3914,00;97,84
3913,00;97,87
3912,00;97,88
3911,00;97,88
3910,00;97,88
3909,00;97,88
3908,00;97,88
3907,00;97,86
3906,00;97,81
3905,00;97,77
3904,00;97,73
3903,00;97,73
3902,00;97,75
3901,00;97,78
3900,00;97,82
3899,00;97,85
3898,00;97,86
3897,00;97,84
3896,00;97,83
3895,00;97,82
3894,00;97,82
3893,00;97,85
3892,00;97,89
3891,00;97,92
3890,00;97,92
3889,00;97,91
3888,00;97,90
3887,00;97,89
3886,00;97,90
3885,00;97,91
3884,00;97,93
3883,00;97,96
3882,00;98,00
3881,00;98,04
3880,00;98,07
3879,00;98,06
3878,00;98,02
3877,00;98,01
3876,00;98,02
3875,00;98,04
3874,00;98,06
3873,00;98,05
3872,00;98,01
3871,00;97,97
3870,00;97,93
3869,00;97,90
3868,00;97,87
3867,00;97,86
3866,00;97,86
3865,00;97,87
3864,00;97,90
3863,00;97,95
3862,00;97,99
3861,00;97,99
3860,00;97,98
3859,00;97,96
3858,00;97,96
3857,00;97,96
3856,00;97,95
3855,00;97,93
3854,00;97,91
3853,00;97,92
3852,00;97,92
3851,00;97,93
3850,00;97,95
3849,00;97,97
3848,00;97,98
3847,00;97,98
3846,00;97,99
3845,00;98,01
3844,00;98,02
3843,00;98,02
3842,00;98,00
3841,00;97,99
3840,00;97,97
3839,00;97,98
3838,00;98,00
3837,00;98,03
3836,00;98,05
3835,00;98,04
3834,00;98,04
3833,00;98,04
3832,00;98,03
3831,00;98,03
3830,00;98,02
3829,00;98,02
3828,00;98,03
3827,00;98,03
3826,00;98,04
3825,00;98,03
3824,00;98,01
3823,00;97,98
3822,00;97,97
3821,00;97,97
3820,00;97,97
3819,00;97,98
3818,00;98,00
3817,00;98,03
3816,00;98,07
3815,00;98,10
3814,00;98,11
3813,00;98,12
3812,00;98,13
3811,00;98,14
3810,00;98,13
3809,00;98,12
3808,00;98,10
3807,00;98,07
3806,00;98,04
3805,00;98,03
3804,00;98,03
3803,00;98,05
3802,00;98,08
3801,00;98,09
3800,00;98,07
3799,00;98,04
3798,00;98,03
3797,00;98,04
3796,00;98,07
3795,00;98,09
3794,00;98,09
3793,00;98,10
3792,00;98,12
3791,00;98,14
3790,00;98,15
3789,00;98,15
3788,00;98,13
3787,00;98,11
3786,00;98,11
3785,00;98,12
3784,00;98,14
3783,00;98,15
3782,00;98,16
3781,00;98,18
3780,00;98,19
3779,00;98,17
3778,00;98,14
3777,00;98,11
3776,00;98,09
3775,00;98,09
3774,00;98,08
3773,00;98,06
3772,00;98,05
3771,00;98,05
3770,00;98,07
3769,00;98,09
3768,00;98,11
3767,00;98,13
3766,00;98,13
3765,00;98,12
3764,00;98,11
3763,00;98,09
3762,00;98,07
3761,00;98,07
3760,00;98,08
3759,00;98,09
3758,00;98,09
3757,00;98,08
3756,00;98,06
3755,00;98,04
3754,00;98,02
3753,00;97,97
3752,00;97,89
3751,00;97,81
3750,00;97,77
3749,00;97,76
3748,00;97,77
3747,00;97,81
3746,00;97,85
3745,00;97,90
3744,00;97,92
3743,00;97,91
3742,00;97,90
3741,00;97,90
3740,00;97,90
3739,00;97,89
3738,00;97,88
3737,00;97,88
3736,00;97,89
3735,00;97,91
3734,00;97,93
3733,00;97,93
3732,00;97,92
3731,00;97,92
3730,00;97,91
3729,00;97,92
3728,00;97,92
3727,00;97,91
3726,00;97,92
3725,00;97,94
3724,00;97,98
3723,00;98,03
3722,00;98,07
3721,00;98,09
3720,00;98,10
3719,00;98,10
3718,00;98,09
3717,00;98,08
3716,00;98,07
3715,00;98,06
3714,00;98,05
3713,00;98,01
3712,00;97,98
3711,00;97,97
3710,00;97,97
3709,00;97,98
3708,00;97,98
3707,00;98,00
3706,00;98,03
3705,00;98,07
3704,00;98,11
3703,00;98,16
3702,00;98,19
3701,00;98,18
3700,00;98,14
3699,00;98,09
3698,00;98,06
3697,00;98,06
3696,00;98,09
3695,00;98,12
3694,00;98,15
3693,00;98,16
3692,00;98,14
3691,00;98,12
3690,00;98,10
3689,00;98,09
3688,00;98,08
3687,00;98,04
3686,00;98,02
3685,00;98,02
3684,00;98,03
3683,00;98,05
3682,00;98,07
3681,00;98,08
3680,00;98,10
3679,00;98,11
3678,00;98,11
3677,00;98,11
3676,00;98,10
3675,00;98,08
3674,00;98,02
3673,00;97,97
3672,00;97,94
3671,00;97,94
3670,00;97,99
3669,00;98,04
3668,00;98,05
3667,00;98,04
3666,00;98,02
3665,00;98,00
3664,00;97,99
3663,00;97,99
3662,00;98,00
3661,00;98,00
3660,00;98,00
3659,00;97,98
3658,00;97,96
3657,00;97,93
3656,00;97,90
3655,00;97,88
3654,00;97,89
3653,00;97,92
3652,00;97,93
3651,00;97,91
3650,00;97,85
3649,00;97,83
3648,00;97,88
3647,00;97,92
3646,00;97,91
3645,00;97,89
3644,00;97,87
3643,00;97,87
3642,00;97,87
3641,00;97,87
3640,00;97,85
3639,00;97,81
3638,00;97,78
3637,00;97,75
3636,00;97,74
3635,00;97,73
3634,00;97,70
3633,00;97,66
3632,00;97,60
3631,00;97,52
3630,00;97,43
3629,00;97,36
3628,00;97,32
3627,00;97,31
3626,00;97,32
3625,00;97,33
3624,00;97,34
3623,00;97,34
3622,00;97,33
3621,00;97,31
3620,00;97,28
3619,00;97,25
3618,00;97,21
3617,00;97,16
3616,00;97,10
3615,00;97,04
3614,00;96,97
3613,00;96,90
3612,00;96,82
3611,00;96,75
3610,00;96,68
3609,00;96,64
3608,00;96,64
3607,00;96,66
3606,00;96,66
3605,00;96,63
3604,00;96,58
3603,00;96,51
3602,00;96,44
3601,00;96,37
3600,00;96,30
3599,00;96,23
3598,00;96,18
3597,00;96,12
3596,00;96,07
3595,00;95,98
3594,00;95,87
3593,00;95,74
3592,00;95,61
3591,00;95,50
3590,00;95,39
3589,00;95,27
3588,00;95,15
3587,00;95,03
3586,00;94,92
3585,00;94,82
3584,00;94,70
3583,00;94,59
3582,00;94,47
3581,00;94,34
3580,00;94,20
3579,00;94,06
3578,00;93,91
3577,00;93,75
3576,00;93,58
3575,00;93,40
3574,00;93,22
3573,00;93,04
3572,00;92,87
3571,00;92,71
3570,00;92,57
3569,00;92,40
3568,00;92,17
3567,00;91,89
3566,00;91,59
3565,00;91,31
3564,00;91,06
3563,00;90,82
3562,00;90,59
3561,00;90,37
3560,00;90,14
3559,00;89,91
3558,00;89,68
3557,00;89,44
3556,00;89,19
3555,00;88,94
3554,00;88,67
3553,00;88,39
3552,00;88,13
3551,00;87,92
3550,00;87,77
3549,00;87,65
3548,00;87,55
3547,00;87,45
3546,00;87,36
3545,00;87,32
3544,00;87,35
3543,00;87,45
3542,00;87,60
3541,00;87,78
3540,00;87,97
3539,00;88,18
3538,00;88,41
3537,00;88,63
3536,00;88,85
3535,00;89,06
3534,00;89,25
3533,00;89,43
3532,00;89,61
3531,00;89,79
3530,00;89,95
3529,00;90,09
3528,00;90,20
3527,00;90,27
3526,00;90,33
3525,00;90,38
3524,00;90,44
3523,00;90,51
3522,00;90,58
3521,00;90,63
3520,00;90,65
3519,00;90,65
3518,00;90,65
3517,00;90,65
3516,00;90,63
3515,00;90,60
3514,00;90,56
3513,00;90,50
3512,00;90,41
3511,00;90,30
3510,00;90,17
3509,00;90,05
3508,00;89,95
3507,00;89,86
3506,00;89,77
3505,00;89,65
3504,00;89,50
3503,00;89,31
3502,00;89,11
3501,00;88,93
3500,00;88,77
3499,00;88,63
3498,00;88,49
3497,00;88,32
3496,00;88,13
3495,00;87,93
3494,00;87,72
3493,00;87,52
3492,00;87,32
3491,00;87,13
3490,00;86,93
3489,00;86,73
3488,00;86,52
3487,00;86,31
3486,00;86,10
3485,00;85,92
3484,00;85,75
3483,00;85,59
3482,00;85,42
3481,00;85,25
3480,00;85,08
3479,00;84,94
3478,00;84,84
3477,00;84,76
3476,00;84,69
3475,00;84,62
3474,00;84,54
3473,00;84,45
3472,00;84,37
3471,00;84,30
3470,00;84,25
3469,00;84,22
3468,00;84,19
3467,00;84,17
3466,00;84,16
3465,00;84,14
3464,00;84,14
3463,00;84,14
3462,00;84,13
3461,00;84,12
3460,00;84,10
3459,00;84,08
3458,00;84,08
3457,00;84,10
3456,00;84,14
3455,00;84,18
3454,00;84,23
3453,00;84,29
3452,00;84,36
3451,00;84,43
3450,00;84,50
3449,00;84,54
3448,00;84,57
3447,00;84,58
3446,00;84,61
3445,00;84,65
3444,00;84,70
3443,00;84,75
3442,00;84,79
3441,00;84,81
3440,00;84,81
3439,00;84,78
3438,00;84,73
3437,00;84,67
3436,00;84,59
3435,00;84,49
3434,00;84,37
3433,00;84,22
3432,00;84,03
3431,00;83,82
3430,00;83,58
3429,00;83,33
3428,00;83,05
3427,00;82,76
3426,00;82,46
3425,00;82,14
3424,00;81,80
3423,00;81,46
3422,00;81,10
3421,00;80,74
3420,00;80,38
3419,00;80,05
3418,00;79,73
3417,00;79,43
3416,00;79,13
3415,00;78,84
3414,00;78,56
3413,00;78,31
3412,00;78,10
3411,00;77,92
3410,00;77,77
3409,00;77,64
3408,00;77,54
3407,00;77,48
3406,00;77,44
3405,00;77,44
3404,00;77,48
3403,00;77,54
3402,00;77,63
3401,00;77,74
3400,00;77,86
3399,00;77,98
3398,00;78,12
3397,00;78,26
3396,00;78,40
3395,00;78,55
3394,00;78,71
3393,00;78,88
3392,00;79,07
3391,00;79,25
3390,00;79,43
3389,00;79,62
3388,00;79,80
3387,00;79,97
3386,00;80,12
3385,00;80,26
3384,00;80,41
3383,00;80,58
3382,00;80,77
3381,00;80,96
3380,00;81,14
3379,00;81,29
3378,00;81,44
3377,00;81,57
3376,00;81,71
3375,00;81,87
3374,00;82,03
3373,00;82,21
3372,00;82,39
3371,00;82,56
3370,00;82,72
3369,00;82,88
3368,00;83,05
