Created as New Dataset;Sample 002 By Administrator Date maandag, maart 02 2026
cm-1;%T
4000,00;99,59
3999,00;99,59
3998,00;99,59
3997,00;99,59
3996,00;99,58
3995,00;99,59
3994,00;99,59
3993,00;99,60
3992,00;99,61
3991,00;99,61
3990,00;99,62
3989,00;99,61
3988,00;99,60
3987,00;99,58
3986,00;99,57
3985,00;99,58
3984,00;99,59
3983,00;99,60
3982,00;99,60
3981,00;99,57
3980,00;99,53
3979,00;99,50
3978,00;99,48
3977,00;99,47
3976,00;99,48
3975,00;99,50
3974,00;99,52
3973,00;99,55
3972,00;99,57
3971,00;99,58
3970,00;99,58
3969,00;99,58
3968,00;99,58
3967,00;99,59
3966,00;99,59
3965,00;99,59
3964,00;99,58
3963,00;99,57
3962,00;99,57
3961,00;99,57
3960,00;99,57
3959,00;99,56
3958,00;99,55
3957,00;99,55
3956,00;99,55
3955,00;99,55
3954,00;99,53
3953,00;99,52
3952,00;99,51
3951,00;99,51
3950,00;99,53
3949,00;99,56
3948,00;99,57
3947,00;99,58
3946,00;99,58
3945,00;99,58
3944,00;99,60
3943,00;99,62
3942,00;99,64
3941,00;99,63
3940,00;99,61
3939,00;99,58
3938,00;99,56
3937,00;99,55
3936,00;99,55
3935,00;99,54
3934,00;99,52
3933,00;99,51
3932,00;99,51
3931,00;99,53
3930,00;99,56
3929,00;99,57
3928,00;99,56
3927,00;99,54
3926,00;99,52
3925,00;99,51
3924,00;99,51
3923,00;99,51
3922,00;99,51
3921,00;99,50
3920,00;99,50
3919,00;99,51
3918,00;99,53
3917,00;99,56
3916,00;99,58
3915,00;99,59
3914,00;99,59
3913,00;99,58
3912,00;99,57
3911,00;99,57
3910,00;99,56
3909,00;99,54
3908,00;99,51
3907,00;99,48
3906,00;99,46
3905,00;99,46
3904,00;99,47
3903,00;99,47
3902,00;99,46
3901,00;99,44
3900,00;99,44
3899,00;99,46
3898,00;99,47
3897,00;99,47
3896,00;99,46
3895,00;99,45
3894,00;99,47
3893,00;99,49
3892,00;99,53
3891,00;99,55
3890,00;99,53
3889,00;99,48
3888,00;99,41
3887,00;99,37
3886,00;99,37
3885,00;99,41
3884,00;99,44
3883,00;99,46
3882,00;99,47
3881,00;99,50
3880,00;99,54
3879,00;99,54
3878,00;99,51
3877,00;99,48
3876,00;99,47
3875,00;99,50
3874,00;99,53
3873,00;99,53
3872,00;99,49
3871,00;99,46
3870,00;99,45
3869,00;99,47
3868,00;99,46
3867,00;99,44
3866,00;99,43
3865,00;99,47
3864,00;99,52
3863,00;99,56
3862,00;99,55
3861,00;99,53
3860,00;99,50
3859,00;99,47
3858,00;99,45
3857,00;99,42
3856,00;99,39
3855,00;99,36
3854,00;99,34
3853,00;99,36
3852,00;99,36
3851,00;99,35
3850,00;99,36
3849,00;99,39
3848,00;99,43
3847,00;99,44
3846,00;99,44
3845,00;99,45
3844,00;99,46
3843,00;99,47
3842,00;99,46
3841,00;99,42
3840,00;99,36
3839,00;99,32
3838,00;99,32
3837,00;99,33
3836,00;99,35
3835,00;99,37
3834,00;99,39
3833,00;99,42
3832,00;99,43
3831,00;99,43
3830,00;99,42
3829,00;99,41
3828,00;99,42
3827,00;99,45
3826,00;99,48
