Created as New Dataset;Sample 004 By Administrator Date maandag, maart 02 2026
cm-1;%T
4000,00;99,30
3999,00;99,29
3998,00;99,28
3997,00;99,27
3996,00;99,28
3995,00;99,30
3994,00;99,32
3993,00;99,32
3992,00;99,33
3991,00;99,33
3990,00;99,34
3989,00;99,35
3988,00;99,34
3987,00;99,33
3986,00;99,31
3985,00;99,29
3984,00;99,29
3983,00;99,28
3982,00;99,27
3981,00;99,25
3980,00;99,23
3979,00;99,22
3978,00;99,22
3977,00;99,22
3976,00;99,24
3975,00;99,26
3974,00;99,28
3973,00;99,30
3972,00;99,32
3971,00;99,34
3970,00;99,34
3969,00;99,33
3968,00;99,31
3967,00;99,29
3966,00;99,27
3965,00;99,26
3964,00;99,26
3963,00;99,26
3962,00;99,26
3961,00;99,26
3960,00;99,26
3959,00;99,25
3958,00;99,25
3957,00;99,25
3956,00;99,26
3955,00;99,26
3954,00;99,26
3953,00;99,26
3952,00;99,25
3951,00;99,25
3950,00;99,26
3949,00;99,28
3948,00;99,28
3947,00;99,28
3946,00;99,26
3945,00;99,26
3944,00;99,27
3943,00;99,29
3942,00;99,31
3941,00;99,31
3940,00;99,29
3939,00;99,28
3938,00;99,27
3937,00;99,28
3936,00;99,28
3935,00;99,28
3934,00;99,27
3933,00;99,25
3932,00;99,24
3931,00;99,24
3930,00;99,25
3929,00;99,25
3928,00;99,24
3927,00;99,22
3926,00;99,20
3925,00;99,20
3924,00;99,21
3923,00;99,22
3922,00;99,23
3921,00;99,23
3920,00;99,21
3919,00;99,21
3918,00;99,21
3917,00;99,22
3916,00;99,24
3915,00;99,26
3914,00;99,27
3913,00;99,27
3912,00;99,26
3911,00;99,25
3910,00;99,24
3909,00;99,23
3908,00;99,22
3907,00;99,20
3906,00;99,19
3905,00;99,19
3904,00;99,20
3903,00;99,21
3902,00;99,21
3901,00;99,21
3900,00;99,21
3899,00;99,22
3898,00;99,23
3897,00;99,23
3896,00;99,22
3895,00;99,21
3894,00;99,20
3893,00;99,20
3892,00;99,21
3891,00;99,22
3890,00;99,22
3889,00;99,20
3888,00;99,19
3887,00;99,20
3886,00;99,22
3885,00;99,23
3884,00;99,23
3883,00;99,22
3882,00;99,22
3881,00;99,23
3880,00;99,25
3879,00;99,24
3878,00;99,21
3877,00;99,19
3876,00;99,17
3875,00;99,18
3874,00;99,19
3873,00;99,19
3872,00;99,18
3871,00;99,17
3870,00;99,17
3869,00;99,16
3868,00;99,15
3867,00;99,15
3866,00;99,16
3865,00;99,18
3864,00;99,22
3863,00;99,24
3862,00;99,25
3861,00;99,24
3860,00;99,23
3859,00;99,22
3858,00;99,20
3857,00;99,19
3856,00;99,18
3855,00;99,18
3854,00;99,19
3853,00;99,20
3852,00;99,20
3851,00;99,20
3850,00;99,21
3849,00;99,22
3848,00;99,23
3847,00;99,23
3846,00;99,21
3845,00;99,19
3844,00;99,18
3843,00;99,18
3842,00;99,18
3841,00;99,18
3840,00;99,17
3839,00;99,15
3838,00;99,15
3837,00;99,15
3836,00;99,15
3835,00;99,16
3834,00;99,17
3833,00;99,18
3832,00;99,18
3831,00;99,18
3830,00;99,17
3829,00;99,18
3828,00;99,19
3827,00;99,20
3826,00;99,20
3825,00;99,18
3824,00;99,15
3823,00;99,12
3822,00;99,09
3821,00;99,08
3820,00;99,09
3819,00;99,10
3818,00;99,11
3817,00;99,14
3816,00;99,16
3815,00;99,18
3814,00;99,19
3813,00;99,20
3812,00;99,19
3811,00;99,17
3810,00;99,15
3809,00;99,12
3808,00;99,10
3807,00;99,09
3806,00;99,06
3805,00;99,04
3804,00;99,02
3803,00;99,01
3802,00;99,03
3801,00;99,06
3800,00;99,07
3799,00;99,07
3798,00;99,08
3797,00;99,09
3796,00;99,09
3795,00;99,09
3794,00;99,09
3793,00;99,09
3792,00;99,10
3791,00;99,11
3790,00;99,10
3789,00;99,09
3788,00;99,08
3787,00;99,08
3786,00;99,08
3785,00;99,08
3784,00;99,07
3783,00;99,06
3782,00;99,05
3781,00;99,05
3780,00;99,05
3779,00;99,03
3778,00;99,00
3777,00;98,97
3776,00;98,95
3775,00;98,95
3774,00;98,95
3773,00;98,94
3772,00;98,92
3771,00;98,89
3770,00;98,89
3769,00;98,91
3768,00;98,94
3767,00;98,98
3766,00;99,00
3765,00;98,99
3764,00;98,96
3763,00;98,92
3762,00;98,89
3761,00;98,87
3760,00;98,87
3759,00;98,89
3758,00;98,90
3757,00;98,90
3756,00;98,87
3755,00;98,84
3754,00;98,81
3753,00;98,79
3752,00;98,78
3751,00;98,77
3750,00;98,75
3749,00;98,70
3748,00;98,66
3747,00;98,64
3746,00;98,66
3745,00;98,70
3744,00;98,72
3743,00;98,70
3742,00;98,67
3741,00;98,65
3740,00;98,64
3739,00;98,61
3738,00;98,57
3737,00;98,53
3736,00;98,50
3735,00;98,50
3734,00;98,50
3733,00;98,50
3732,00;98,50
3731,00;98,50
3730,00;98,50
3729,00;98,50
3728,00;98,50
3727,00;98,50
3726,00;98,49
3725,00;98,49
3724,00;98,49
3723,00;98,48
3722,00;98,47
3721,00;98,43
3720,00;98,39
3719,00;98,36
3718,00;98,33
3717,00;98,31
3716,00;98,27
3715,00;98,22
3714,00;98,14
3713,00;98,05
3712,00;97,98
3711,00;97,94
3710,00;97,93
3709,00;97,91
3708,00;97,88
3707,00;97,85
3706,00;97,82
3705,00;97,79
3704,00;97,76
3703,00;97,73
3702,00;97,68
3701,00;97,61
3700,00;97,54
3699,00;97,47
3698,00;97,42
3697,00;97,37
3696,00;97,32
3695,00;97,26
3694,00;97,19
3693,00;97,11
3692,00;97,00
3691,00;96,89
3690,00;96,77
3689,00;96,65
3688,00;96,54
3687,00;96,45
3686,00;96,37
3685,00;96,30
3684,00;96,22
3683,00;96,13
3682,00;96,03
3681,00;95,92
3680,00;95,81
3679,00;95,70
3678,00;95,57
3677,00;95,42
3676,00;95,21
3675,00;95,00
3674,00;94,82
3673,00;94,70
3672,00;94,58
3671,00;94,44
3670,00;94,25
3669,00;94,07
3668,00;93,92
3667,00;93,80
3666,00;93,67
3665,00;93,52
3664,00;93,35
3663,00;93,17
3662,00;93,00
3661,00;92,84
3660,00;92,69
3659,00;92,53
3658,00;92,34
3657,00;92,12
3656,00;91,89
3655,00;91,70
3654,00;91,55
3653,00;91,41
3652,00;91,26
3651,00;91,06
3650,00;90,81
3649,00;90,53
3648,00;90,25
3647,00;90,00
3646,00;89,80
3645,00;89,64
3644,00;89,49
3643,00;89,35
3642,00;89,19
3641,00;89,01
3640,00;88,82
3639,00;88,63
3638,00;88,45
3637,00;88,27
3636,00;88,10
3635,00;87,92
3634,00;87,74
3633,00;87,56
3632,00;87,40
3631,00;87,24
3630,00;87,02
3629,00;86,73
3628,00;86,46
3627,00;86,25
3626,00;86,12
3625,00;86,02
3624,00;85,91
3623,00;85,80
3622,00;85,66
3621,00;85,49
3620,00;85,29
3619,00;85,08
3618,00;84,90
3617,00;84,74
3616,00;84,61
3615,00;84,45
3614,00;84,28
3613,00;84,08
3612,00;83,91
3611,00;83,75
3610,00;83,59
3609,00;83,42
3608,00;83,23
3607,00;83,05
3606,00;82,90
3605,00;82,77
3604,00;82,64
3603,00;82,50
3602,00;82,35
3601,00;82,18
3600,00;82,01
3599,00;81,86
3598,00;81,72
3597,00;81,57
3596,00;81,40
3595,00;81,20
3594,00;80,99
3593,00;80,80
3592,00;80,64
3591,00;80,50
3590,00;80,36
3589,00;80,18
3588,00;79,94
3587,00;79,71
3586,00;79,52
3585,00;79,37
3584,00;79,25
3583,00;79,12
3582,00;78,98
3581,00;78,83
3580,00;78,68
3579,00;78,53
3578,00;78,38
3577,00;78,23
3576,00;78,05
3575,00;77,86
3574,00;77,67
3573,00;77,49
3572,00;77,35
3571,00;77,24
3570,00;77,13
3569,00;77,00
3568,00;76,81
3567,00;76,56
3566,00;76,30
3565,00;76,08
3564,00;75,91
3563,00;75,75
3562,00;75,60
3561,00;75,44
3560,00;75,27
3559,00;75,10
3558,00;74,94
3557,00;74,78
3556,00;74,63
3555,00;74,46
3554,00;74,28
3553,00;74,09
3552,00;73,89
3551,00;73,70
3550,00;73,54
3549,00;73,38
3548,00;73,22
3547,00;73,03
3546,00;72,82
3545,00;72,60
3544,00;72,40
3543,00;72,23
3542,00;72,07
3541,00;71,93
3540,00;71,78
3539,00;71,62
3538,00;71,45
3537,00;71,26
3536,00;71,07
3535,00;70,89
3534,00;70,71
3533,00;70,55
3532,00;70,38
3531,00;70,21
3530,00;70,04
3529,00;69,87
3528,00;69,68
3527,00;69,49
3526,00;69,30
3525,00;69,12
3524,00;68,93
3523,00;68,75
3522,00;68,57
3521,00;68,39
3520,00;68,22
3519,00;68,05
3518,00;67,87
3517,00;67,69
3516,00;67,51
3515,00;67,34
3514,00;67,17
3513,00;67,00
3512,00;66,83
3511,00;66,65
3510,00;66,47
3509,00;66,29
3508,00;66,13
3507,00;65,99
3506,00;65,83
3505,00;65,65
3504,00;65,44
3503,00;65,21
3502,00;64,99
3501,00;64,81
3500,00;64,66
3499,00;64,52
3498,00;64,36
3497,00;64,20
3496,00;64,03
3495,00;63,86
3494,00;63,69
3493,00;63,53
3492,00;63,37
3491,00;63,21
3490,00;63,05
3489,00;62,88
3488,00;62,71
3487,00;62,54
3486,00;62,37
3485,00;62,21
3484,00;62,05
3483,00;61,88
3482,00;61,70
3481,00;61,50
3480,00;61,31
3479,00;61,13
3478,00;60,97
3477,00;60,82
3476,00;60,67
3475,00;60,52
3474,00;60,36
3473,00;60,20
3472,00;60,02
3471,00;59,84
3470,00;59,67
3469,00;59,50
3468,00;59,35
3467,00;59,20
3466,00;59,06
3465,00;58,92
3464,00;58,77
3463,00;58,62
3462,00;58,46
3461,00;58,29
3460,00;58,13
3459,00;57,97
