Created as New Dataset;Sample 000 By Administrator Date maandag, maart 02 2026
cm-1;%T
4000,00;99,41
3999,00;99,41
3998,00;99,41
3997,00;99,41
3996,00;99,40
3995,00;99,41
3994,00;99,42
3993,00;99,42
3992,00;99,43
3991,00;99,43
3990,00;99,43
3989,00;99,43
3988,00;99,42
3987,00;99,42
3986,00;99,41
3985,00;99,41
3984,00;99,40
3983,00;99,40
3982,00;99,40
3981,00;99,41
3980,00;99,41
3979,00;99,42
3978,00;99,42
3977,00;99,42
3976,00;99,43
3975,00;99,44
3974,00;99,46
3973,00;99,47
3972,00;99,47
3971,00;99,46
3970,00;99,46
3969,00;99,47
3968,00;99,48
3967,00;99,48
3966,00;99,48
3965,00;99,46
3964,00;99,44
3963,00;99,43
3962,00;99,43
3961,00;99,44
3960,00;99,45
3959,00;99,46
3958,00;99,47
3957,00;99,49
3956,00;99,49
3955,00;99,49
3954,00;99,48
3953,00;99,48
3952,00;99,49
3951,00;99,51
3950,00;99,52
3949,00;99,53
3948,00;99,53
3947,00;99,52
3946,00;99,51
3945,00;99,51
3944,00;99,52
3943,00;99,54
3942,00;99,55
3941,00;99,54
3940,00;99,53
3939,00;99,52
3938,00;99,51
3937,00;99,51
3936,00;99,52
3935,00;99,52
3934,00;99,52
3933,00;99,52
3932,00;99,52
3931,00;99,53
3930,00;99,54
3929,00;99,55
3928,00;99,54
3927,00;99,53
3926,00;99,51
3925,00;99,49
3924,00;99,49
3923,00;99,49
3922,00;99,50
3921,00;99,50
3920,00;99,50
3919,00;99,51
3918,00;99,54
3917,00;99,57
3916,00;99,61
3915,00;99,62
3914,00;99,62
3913,00;99,59
3912,00;99,57
3911,00;99,56
3910,00;99,56
3909,00;99,57
3908,00;99,56
3907,00;99,54
3906,00;99,51
3905,00;99,47
3904,00;99,46
3903,00;99,48
3902,00;99,52
3901,00;99,56
3900,00;99,57
3899,00;99,57
3898,00;99,56
3897,00;99,55
3896,00;99,54
3895,00;99,54
3894,00;99,55
3893,00;99,56
3892,00;99,58
3891,00;99,60
3890,00;99,61
3889,00;99,60
3888,00;99,58
3887,00;99,58
3886,00;99,59
3885,00;99,60
3884,00;99,60
3883,00;99,58
3882,00;99,56
3881,00;99,56
3880,00;99,57
3879,00;99,59
3878,00;99,59
3877,00;99,59
3876,00;99,59
3875,00;99,60
3874,00;99,62
3873,00;99,63
3872,00;99,63
3871,00;99,63
3870,00;99,62
3869,00;99,60
3868,00;99,59
3867,00;99,58
3866,00;99,57
3865,00;99,57
3864,00;99,59
3863,00;99,60
3862,00;99,61
3861,00;99,61
3860,00;99,62
3859,00;99,63
3858,00;99,65
3857,00;99,68
3856,00;99,71
3855,00;99,75
3854,00;99,78
3853,00;99,78
3852,00;99,74
3851,00;99,70
3850,00;99,67
3849,00;99,66
3848,00;99,65
3847,00;99,63
3846,00;99,62
3845,00;99,61
3844,00;99,61
