Created as New Dataset;Sample 006 By Administrator Date maandag, maart 02 2026
cm-1;%T
4000,00;99,16
3999,00;99,14
3998,00;99,13
3997,00;99,11
3996,00;99,11
3995,00;99,12
3994,00;99,13
3993,00;99,15
3992,00;99,16
3991,00;99,17
3990,00;99,17
3989,00;99,17
3988,00;99,16
3987,00;99,13
3986,00;99,11
3985,00;99,10
3984,00;99,12
3983,00;99,13
3982,00;99,14
3981,00;99,13
3980,00;99,11
3979,00;99,08
3978,00;99,06
3977,00;99,06
3976,00;99,07
3975,00;99,09
3974,00;99,11
3973,00;99,13
3972,00;99,15
3971,00;99,16
3970,00;99,16
3969,00;99,16
3968,00;99,15
3967,00;99,14
3966,00;99,14
3965,00;99,14
3964,00;99,14
3963,00;99,14
3962,00;99,13
3961,00;99,11
3960,00;99,10
3959,00;99,09
3958,00;99,10
3957,00;99,11
3956,00;99,11
3955,00;99,11
3954,00;99,10
3953,00;99,09
3952,00;99,10
3951,00;99,12
3950,00;99,14
3949,00;99,16
3948,00;99,16
3947,00;99,15
3946,00;99,13
3945,00;99,13
3944,00;99,14
3943,00;99,17
3942,00;99,18
3941,00;99,17
3940,00;99,15
3939,00;99,14
3938,00;99,13
3937,00;99,13
3936,00;99,14
3935,00;99,14
3934,00;99,14
3933,00;99,14
3932,00;99,15
3931,00;99,16
3930,00;99,16
3929,00;99,16
3928,00;99,14
3927,00;99,12
3926,00;99,11
3925,00;99,10
3924,00;99,10
3923,00;99,10
3922,00;99,10
3921,00;99,10
3920,00;99,10
3919,00;99,10
3918,00;99,13
3917,00;99,17
3916,00;99,20
3915,00;99,22
3914,00;99,20
3913,00;99,18
3912,00;99,15
3911,00;99,12
3910,00;99,10
3909,00;99,09
3908,00;99,07
3907,00;99,05
3906,00;99,04
3905,00;99,06
3904,00;99,09
3903,00;99,13
3902,00;99,15
3901,00;99,16
3900,00;99,17
3899,00;99,17
3898,00;99,16
3897,00;99,14
3896,00;99,12
3895,00;99,09
3894,00;99,08
3893,00;99,08
3892,00;99,11
3891,00;99,12
3890,00;99,11
3889,00;99,08
3888,00;99,05
3887,00;99,06
3886,00;99,08
3885,00;99,11
3884,00;99,11
3883,00;99,11
3882,00;99,13
3881,00;99,17
3880,00;99,20
3879,00;99,18
3878,00;99,12
3877,00;99,07
3876,00;99,06
3875,00;99,07
3874,00;99,09
3873,00;99,08
3872,00;99,07
3871,00;99,08
3870,00;99,09
3869,00;99,08
3868,00;99,04
3867,00;99,00
3866,00;98,98
3865,00;99,01
3864,00;99,05
3863,00;99,10
3862,00;99,13
3861,00;99,13
3860,00;99,11
3859,00;99,08
3858,00;99,05
3857,00;99,03
3856,00;99,02
3855,00;99,03
3854,00;99,07
3853,00;99,11
3852,00;99,11
3851,00;99,08
3850,00;99,07
3849,00;99,07
3848,00;99,08
3847,00;99,09
3846,00;99,08
3845,00;99,08
3844,00;99,08
3843,00;99,06
3842,00;99,04
3841,00;99,01
3840,00;99,00
3839,00;99,01
3838,00;99,04
3837,00;99,07
3836,00;99,09
3835,00;99,10
3834,00;99,10
3833,00;99,08
3832,00;99,05
3831,00;99,01
3830,00;98,97
3829,00;98,95
3828,00;98,96
3827,00;98,99
3826,00;99,02
3825,00;99,02
3824,00;99,00
3823,00;98,96
3822,00;98,95
3821,00;98,97
3820,00;98,98
3819,00;98,98
3818,00;98,98
3817,00;98,99
3816,00;99,02
3815,00;99,04
3814,00;99,05
3813,00;99,07
3812,00;99,07
3811,00;99,05
3810,00;99,02
3809,00;98,98
3808,00;98,95
3807,00;98,94
3806,00;98,93
3805,00;98,90
3804,00;98,88
3803,00;98,89
3802,00;98,92
3801,00;98,95
3800,00;98,94
3799,00;98,93
3798,00;98,93
3797,00;98,96
3796,00;98,99
3795,00;98,98
3794,00;98,97
3793,00;98,96
3792,00;98,97
3791,00;98,98
3790,00;98,97
3789,00;98,95
3788,00;98,93
3787,00;98,92
3786,00;98,92
3785,00;98,94
3784,00;98,95
3783,00;98,94
3782,00;98,92
3781,00;98,90
3780,00;98,90
3779,00;98,89
3778,00;98,87
3777,00;98,84
3776,00;98,82
3775,00;98,80
3774,00;98,77
3773,00;98,75
3772,00;98,74
3771,00;98,76
3770,00;98,80
3769,00;98,85
3768,00;98,88
3767,00;98,89
3766,00;98,89
3765,00;98,87
3764,00;98,83
3763,00;98,78
3762,00;98,74
3761,00;98,71
3760,00;98,71
3759,00;98,71
3758,00;98,73
3757,00;98,73
3756,00;98,71
3755,00;98,68
3754,00;98,63
3753,00;98,59
3752,00;98,56
3751,00;98,58
3750,00;98,61
3749,00;98,62
3748,00;98,60
3747,00;98,57
3746,00;98,57
3745,00;98,58
3744,00;98,59
3743,00;98,57
