Created as New Dataset;Sample 009 By Administrator Date maandag, maart 02 2026
cm-1;%T
4000,00;98,12
3999,00;98,12
3998,00;98,12
3997,00;98,11
3996,00;98,10
3995,00;98,09
3994,00;98,08
3993,00;98,08
3992,00;98,08
3991,00;98,09
3990,00;98,11
3989,00;98,13
3988,00;98,14
3987,00;98,15
3986,00;98,16
3985,00;98,15
3984,00;98,15
3983,00;98,15
3982,00;98,14
3981,00;98,12
3980,00;98,09
3979,00;98,06
3978,00;98,04
3977,00;98,02
3976,00;98,01
3975,00;98,02
3974,00;98,04
3973,00;98,05
3972,00;98,06
3971,00;98,07
3970,00;98,07
3969,00;98,09
3968,00;98,10
3967,00;98,11
3966,00;98,11
3965,00;98,09
3964,00;98,07
3963,00;98,06
3962,00;98,06
3961,00;98,06
3960,00;98,06
3959,00;98,06
3958,00;98,05
3957,00;98,05
3956,00;98,06
3955,00;98,06
3954,00;98,08
3953,00;98,09
3952,00;98,10
3951,00;98,10
3950,00;98,07
3949,00;98,02
3948,00;97,99
3947,00;97,97
3946,00;97,99
3945,00;98,04
3944,00;98,12
3943,00;98,17
3942,00;98,18
3941,00;98,14
3940,00;98,09
3939,00;98,05
3938,00;98,05
3937,00;98,05
3936,00;98,05
3935,00;98,04
3934,00;98,01
3933,00;97,98
3932,00;97,96
3931,00;97,99
3930,00;98,03
3929,00;98,08
3928,00;98,12
3927,00;98,13
3926,00;98,13
3925,00;98,10
3924,00;98,05
3923,00;98,01
3922,00;97,98
3921,00;97,94
3920,00;97,90
3919,00;97,85
3918,00;97,82
3917,00;97,85
3916,00;97,92
3915,00;98,00
3914,00;98,07
3913,00;98,12
3912,00;98,14
3911,00;98,15
3910,00;98,15
3909,00;98,15
3908,00;98,13
3907,00;98,06
3906,00;97,93
3905,00;97,74
3904,00;97,56
3903,00;97,45
3902,00;97,44
3901,00;97,52
3900,00;97,65
3899,00;97,78
3898,00;97,85
3897,00;97,89
3896,00;97,88
3895,00;97,86
3894,00;97,83
3893,00;97,83
3892,00;97,84
3891,00;97,87
3890,00;97,86
3889,00;97,84
3888,00;97,83
3887,00;97,82
3886,00;97,83
3885,00;97,85
3884,00;97,88
