Created as New Dataset;Sample 003 By Administrator Date maandag, maart 02 2026
cm-1;%T
4000,00;99,61
3999,00;99,61
3998,00;99,61
3997,00;99,61
3996,00;99,61
3995,00;99,61
3994,00;99,63
3993,00;99,63
3992,00;99,64
3991,00;99,65
3990,00;99,65
3989,00;99,64
3988,00;99,63
3987,00;99,61
3986,00;99,60
3985,00;99,60
3984,00;99,60
3983,00;99,60
3982,00;99,59
3981,00;99,58
3980,00;99,56
3979,00;99,55
3978,00;99,55
3977,00;99,54
3976,00;99,54
3975,00;99,54
3974,00;99,55
3973,00;99,56
3972,00;99,58
3971,00;99,60
3970,00;99,62
3969,00;99,62
3968,00;99,63
3967,00;99,62
3966,00;99,61
3965,00;99,59
3964,00;99,58
3963,00;99,57
3962,00;99,56
3961,00;99,56
3960,00;99,56
3959,00;99,57
3958,00;99,57
3957,00;99,57
3956,00;99,57
3955,00;99,56
3954,00;99,54
3953,00;99,54
3952,00;99,53
3951,00;99,54
3950,00;99,55
3949,00;99,56
3948,00;99,57
3947,00;99,57
3946,00;99,57
3945,00;99,58
3944,00;99,60
3943,00;99,61
3942,00;99,61
3941,00;99,60
3940,00;99,59
3939,00;99,57
3938,00;99,57
3937,00;99,56
3936,00;99,56
3935,00;99,55
3934,00;99,55
3933,00;99,55
3932,00;99,56
3931,00;99,57
3930,00;99,58
3929,00;99,59
3928,00;99,58
3927,00;99,57
3926,00;99,55
3925,00;99,53
3924,00;99,52
3923,00;99,51
3922,00;99,50
3921,00;99,49
3920,00;99,48
3919,00;99,48
3918,00;99,51
3917,00;99,54
3916,00;99,58
3915,00;99,60
3914,00;99,60
3913,00;99,60
3912,00;99,58
3911,00;99,56
3910,00;99,54
3909,00;99,52
3908,00;99,50
3907,00;99,48
3906,00;99,47
3905,00;99,46
3904,00;99,47
3903,00;99,48
3902,00;99,50
3901,00;99,53
3900,00;99,57
3899,00;99,59
3898,00;99,60
3897,00;99,58
3896,00;99,54
3895,00;99,51
3894,00;99,49
3893,00;99,50
3892,00;99,53
3891,00;99,55
3890,00;99,55
3889,00;99,53
3888,00;99,52
3887,00;99,52
3886,00;99,52
3885,00;99,52
3884,00;99,51
3883,00;99,53
3882,00;99,56
3881,00;99,58
3880,00;99,59
3879,00;99,56
3878,00;99,52
3877,00;99,48
3876,00;99,45
3875,00;99,44
3874,00;99,43
3873,00;99,43
3872,00;99,45
3871,00;99,47
3870,00;99,47
3869,00;99,45
3868,00;99,44
3867,00;99,45
3866,00;99,47
3865,00;99,48
3864,00;99,51
3863,00;99,53
3862,00;99,54
3861,00;99,53
3860,00;99,51
3859,00;99,47
3858,00;99,44
3857,00;99,41
3856,00;99,39
3855,00;99,41
3854,00;99,46
3853,00;99,52
3852,00;99,56
3851,00;99,58
3850,00;99,57
3849,00;99,56
3848,00;99,53
3847,00;99,51
3846,00;99,48
3845,00;99,45
3844,00;99,42
3843,00;99,41
3842,00;99,39
3841,00;99,38
3840,00;99,37
3839,00;99,37
3838,00;99,37
3837,00;99,38
3836,00;99,39
3835,00;99,42
3834,00;99,44
3833,00;99,46
3832,00;99,47
3831,00;99,46
3830,00;99,44
3829,00;99,42
3828,00;99,42
3827,00;99,41
3826,00;99,39
3825,00;99,36
3824,00;99,33
3823,00;99,32
3822,00;99,32
3821,00;99,31
3820,00;99,32
3819,00;99,33
3818,00;99,37
3817,00;99,41
3816,00;99,44
3815,00;99,47
3814,00;99,48
3813,00;99,49
3812,00;99,47
3811,00;99,43
3810,00;99,39
3809,00;99,37
3808,00;99,37
3807,00;99,37
3806,00;99,34
3805,00;99,31
3804,00;99,30
3803,00;99,31
3802,00;99,32
3801,00;99,30
3800,00;99,29
3799,00;99,29
3798,00;99,31
3797,00;99,32
3796,00;99,33
3795,00;99,33
3794,00;99,34
3793,00;99,35
3792,00;99,36
3791,00;99,36
3790,00;99,36
3789,00;99,35
3788,00;99,33
3787,00;99,33
3786,00;99,33
3785,00;99,33
3784,00;99,32
3783,00;99,31
3782,00;99,29
3781,00;99,28
3780,00;99,26
3779,00;99,25
3778,00;99,25
3777,00;99,25
3776,00;99,26
3775,00;99,24
3774,00;99,21
3773,00;99,18
3772,00;99,16
3771,00;99,16
3770,00;99,17
3769,00;99,20
3768,00;99,23
3767,00;99,27
3766,00;99,28
3765,00;99,26
3764,00;99,21
3763,00;99,17
3762,00;99,14
3761,00;99,12
3760,00;99,13
3759,00;99,14
3758,00;99,14
3757,00;99,11
3756,00;99,06
3755,00;99,01
3754,00;98,96
3753,00;98,93
3752,00;98,91
3751,00;98,94
3750,00;98,96
3749,00;98,97
3748,00;98,95
3747,00;98,96
3746,00;99,01
3745,00;99,05
3744,00;99,05
3743,00;99,01
3742,00;98,97
3741,00;98,93
3740,00;98,89
3739,00;98,84
3738,00;98,80
3737,00;98,76
3736,00;98,73
3735,00;98,72
3734,00;98,74
3733,00;98,78
3732,00;98,81
3731,00;98,81
3730,00;98,78
3729,00;98,75
3728,00;98,71
3727,00;98,67
3726,00;98,64
3725,00;98,64
3724,00;98,65
3723,00;98,67
3722,00;98,67
3721,00;98,65
3720,00;98,61
3719,00;98,57
3718,00;98,53
3717,00;98,50
3716,00;98,46
3715,00;98,42
3714,00;98,36
3713,00;98,29
3712,00;98,22
3711,00;98,17
3710,00;98,14
3709,00;98,11
3708,00;98,09
3707,00;98,06
3706,00;98,03
3705,00;97,99
3704,00;97,96
3703,00;97,93
3702,00;97,88
3701,00;97,82
3700,00;97,75
3699,00;97,67
3698,00;97,59
3697,00;97,51
3696,00;97,42
3695,00;97,34
3694,00;97,27
3693,00;97,19
3692,00;97,11
3691,00;97,02
3690,00;96,92
3689,00;96,81
3688,00;96,70
3687,00;96,59
3686,00;96,49
3685,00;96,39
3684,00;96,29
3683,00;96,18
3682,00;96,08
3681,00;95,97
3680,00;95,85
3679,00;95,72
3678,00;95,60
3677,00;95,44
3676,00;95,22
3675,00;94,99
3674,00;94,82
3673,00;94,72
3672,00;94,63
3671,00;94,50
3670,00;94,32
3669,00;94,13
3668,00;93,97
3667,00;93,83
3666,00;93,69
3665,00;93,54
3664,00;93,38
3663,00;93,22
3662,00;93,05
3661,00;92,88
3660,00;92,70
3659,00;92,53
3658,00;92,35
3657,00;92,14
3656,00;91,93
3655,00;91,75
3654,00;91,61
3653,00;91,50
3652,00;91,36
3651,00;91,17
3650,00;90,91
3649,00;90,65
3648,00;90,43
3647,00;90,25
3646,00;90,10
3645,00;89,97
3644,00;89,86
3643,00;89,74
3642,00;89,60
3641,00;89,44
3640,00;89,27
3639,00;89,08
3638,00;88,88
3637,00;88,71
3636,00;88,55
3635,00;88,41
3634,00;88,27
3633,00;88,13
3632,00;88,02
3631,00;87,90
3630,00;87,73
3629,00;87,49
3628,00;87,25
3627,00;87,07
3626,00;86,96
3625,00;86,86
3624,00;86,75
3623,00;86,64
3622,00;86,53
3621,00;86,41
3620,00;86,26
3619,00;86,10
3618,00;85,93
3617,00;85,79
3616,00;85,66
3615,00;85,52
3614,00;85,35
3613,00;85,17
3612,00;85,01
3611,00;84,89
3610,00;84,79
3609,00;84,67
3608,00;84,51
3607,00;84,34
3606,00;84,20
3605,00;84,08
3604,00;83,96
3603,00;83,84
3602,00;83,69
3601,00;83,53
3600,00;83,37
3599,00;83,24
3598,00;83,13
3597,00;83,02
3596,00;82,90
3595,00;82,74
3594,00;82,56
3593,00;82,39
3592,00;82,25
3591,00;82,13
3590,00;82,01
3589,00;81,86
3588,00;81,67
3587,00;81,49
3586,00;81,33
3585,00;81,21
3584,00;81,10
3583,00;80,98
3582,00;80,85
3581,00;80,71
3580,00;80,55
3579,00;80,39
3578,00;80,22
3577,00;80,05
3576,00;79,90
3575,00;79,76
3574,00;79,64
3573,00;79,53
3572,00;79,43
3571,00;79,32
3570,00;79,20
3569,00;79,04
3568,00;78,84
3567,00;78,60
3566,00;78,39
3565,00;78,21
3564,00;78,08
3563,00;77,95
3562,00;77,82
3561,00;77,69
3560,00;77,55
3559,00;77,42
3558,00;77,28
3557,00;77,14
3556,00;77,00
3555,00;76,84
3554,00;76,67
3553,00;76,49
3552,00;76,30
3551,00;76,13
3550,00;75,99
3549,00;75,87
3548,00;75,73
3547,00;75,56
3546,00;75,36
3545,00;75,16
3544,00;74,97
3543,00;74,80
3542,00;74,66
3541,00;74,54
3540,00;74,41
3539,00;74,28
3538,00;74,12
3537,00;73,95
3536,00;73,78
3535,00;73,61
3534,00;73,47
3533,00;73,33
3532,00;73,19
3531,00;73,05
3530,00;72,90
3529,00;72,74
3528,00;72,57
3527,00;72,40
3526,00;72,24
3525,00;72,08
3524,00;71,91
3523,00;71,72
3522,00;71,54
3521,00;71,38
3520,00;71,23
3519,00;71,10
3518,00;70,97
3517,00;70,83
3516,00;70,69
3515,00;70,55
3514,00;70,40
3513,00;70,25
3512,00;70,08
3511,00;69,91
3510,00;69,73
3509,00;69,57
3508,00;69,42
3507,00;69,29
3506,00;69,16
3505,00;69,01
3504,00;68,83
3503,00;68,63
3502,00;68,43
3501,00;68,24
3500,00;68,09
3499,00;67,95
3498,00;67,83
3497,00;67,70
3496,00;67,55
3495,00;67,39
3494,00;67,23
3493,00;67,08
3492,00;66,94
3491,00;66,79
3490,00;66,64
3489,00;66,49
3488,00;66,33
3487,00;66,17
3486,00;66,02
3485,00;65,87
3484,00;65,72
3483,00;65,56
3482,00;65,39
3481,00;65,22
3480,00;65,05
3479,00;64,91
3478,00;64,78
3477,00;64,64
3476,00;64,50
3475,00;64,36
3474,00;64,20
3473,00;64,04
3472,00;63,88
3471,00;63,72
3470,00;63,56
3469,00;63,40
3468,00;63,25
3467,00;63,11
3466,00;62,96
3465,00;62,81
3464,00;62,67
3463,00;62,52
3462,00;62,36
3461,00;62,19
3460,00;62,02
3459,00;61,86
3458,00;61,72
3457,00;61,59
3456,00;61,45
3455,00;61,31
3454,00;61,16
3453,00;61,01
3452,00;60,85
3451,00;60,71
3450,00;60,57
3449,00;60,42
3448,00;60,25
3447,00;60,07
3446,00;59,91
3445,00;59,76
3444,00;59,62
3443,00;59,49
3442,00;59,35
3441,00;59,20
3440,00;59,05
3439,00;58,89
3438,00;58,73
3437,00;58,58
3436,00;58,45
3435,00;58,32
3434,00;58,20
3433,00;58,06
3432,00;57,92
3431,00;57,77
