Created as New Dataset;Sample 007 By Administrator Date maandag, maart 02 2026
cm-1;%T
4000,00;98,84
3999,00;98,83
3998,00;98,81
3997,00;98,79
3996,00;98,78
3995,00;98,80
3994,00;98,83
3993,00;98,86
3992,00;98,88
3991,00;98,89
3990,00;98,89
3989,00;98,90
3988,00;98,90
3987,00;98,90
3986,00;98,90
3985,00;98,89
3984,00;98,88
3983,00;98,88
3982,00;98,86
3981,00;98,85
3980,00;98,83
3979,00;98,83
3978,00;98,82
3977,00;98,82
3976,00;98,82
3975,00;98,83
3974,00;98,85
3973,00;98,86
3972,00;98,87
3971,00;98,88
3970,00;98,89
3969,00;98,90
3968,00;98,91
3967,00;98,91
3966,00;98,91
3965,00;98,90
3964,00;98,89
3963,00;98,88
3962,00;98,87
3961,00;98,87
3960,00;98,87
3959,00;98,86
3958,00;98,86
3957,00;98,85
3956,00;98,86
3955,00;98,87
3954,00;98,88
3953,00;98,88
3952,00;98,87
3951,00;98,87
3950,00;98,87
3949,00;98,87
3948,00;98,88
3947,00;98,90
3946,00;98,91
3945,00;98,93
3944,00;98,94
3943,00;98,94
3942,00;98,93
3941,00;98,90
3940,00;98,88
3939,00;98,87
3938,00;98,86
3937,00;98,87
3936,00;98,87
3935,00;98,87
3934,00;98,87
3933,00;98,86
3932,00;98,87
3931,00;98,89
3930,00;98,91
3929,00;98,92
3928,00;98,91
3927,00;98,89
3926,00;98,86
3925,00;98,85
3924,00;98,84
3923,00;98,85
3922,00;98,87
3921,00;98,87
3920,00;98,88
3919,00;98,88
3918,00;98,89
3917,00;98,91
3916,00;98,92
3915,00;98,93
3914,00;98,94
3913,00;98,93
3912,00;98,92
3911,00;98,91
3910,00;98,90
3909,00;98,91
3908,00;98,90
3907,00;98,89
3906,00;98,86
3905,00;98,84
3904,00;98,83
3903,00;98,84
3902,00;98,85
3901,00;98,87
3900,00;98,88
3899,00;98,89
3898,00;98,89
3897,00;98,89
3896,00;98,88
3895,00;98,87
3894,00;98,86
3893,00;98,87
3892,00;98,89
3891,00;98,90
3890,00;98,90
3889,00;98,89
3888,00;98,88
3887,00;98,89
3886,00;98,90
3885,00;98,91
3884,00;98,91
3883,00;98,92
3882,00;98,93
3881,00;98,94
3880,00;98,93
3879,00;98,92
3878,00;98,90
3877,00;98,89
3876,00;98,89
3875,00;98,89
3874,00;98,90
3873,00;98,91
