nm; A
700,000000; -0,038064
699,000000; -0,037988
698,000000; -0,037884
697,000000; -0,037813
696,000000; -0,037701
695,000000; -0,037646
694,000000; -0,037510
693,000000; -0,037383
692,000000; -0,037343
691,000000; -0,037267
690,000000; -0,037211
689,000000; -0,037140
688,000000; -0,037020
687,000000; -0,036912
686,000000; -0,036880
685,000000; -0,036761
684,000000; -0,036681
683,000000; -0,036745
682,000000; -0,036749
681,000000; -0,036677
680,000000; -0,036629
679,000000; -0,036561
678,000000; -0,036457
677,000000; -0,036429
676,000000; -0,036397
675,000000; -0,036345
674,000000; -0,036190
673,000000; -0,036130
672,000000; -0,036074
671,000000; -0,035978
670,000000; -0,035894
669,000000; -0,035778
668,000000; -0,035766
667,000000; -0,035618
666,000000; -0,035522
665,000000; -0,035438
664,000000; -0,035394
663,000000; -0,035378
662,000000; -0,035254
661,000000; -0,035153
660,000000; -0,035089
659,000000; -0,035013
658,000000; -0,034977
657,000000; -0,034873
656,000000; -0,034845
655,000000; -0,034801
654,000000; -0,034705
653,000000; -0,034608
652,000000; -0,034568
651,000000; -0,034516
650,000000; -0,034372
649,000000; -0,034344
648,000000; -0,034291
647,000000; -0,034251
646,000000; -0,034175
645,000000; -0,034151
644,000000; -0,034127
643,000000; -0,034051
642,000000; -0,033982
641,000000; -0,033958
640,000000; -0,033846
639,000000; -0,033842
638,000000; -0,033781
637,000000; -0,033685
636,000000; -0,033581
635,000000; -0,033564
634,000000; -0,033492
633,000000; -0,033420
632,000000; -0,033339
631,000000; -0,033275
630,000000; -0,033287
629,000000; -0,033146
628,000000; -0,033074
627,000000; -0,033070
626,000000; -0,033025
625,000000; -0,032945
624,000000; -0,032893
623,000000; -0,032864
622,000000; -0,032780
621,000000; -0,032740
620,000000; -0,032659
619,000000; -0,032607
618,000000; -0,032466
617,000000; -0,032393
616,000000; -0,032357
615,000000; -0,032240
614,000000; -0,032135
613,000000; -0,032026
612,000000; -0,031958
611,000000; -0,031836
610,000000; -0,031744
609,000000; -0,031631
608,000000; -0,031473
607,000000; -0,031368
606,000000; -0,031227
605,000000; -0,031065
604,000000; -0,030915
603,000000; -0,030745
602,000000; -0,030604
601,000000; -0,030357
600,000000; -0,030142
599,000000; -0,029956
598,000000; -0,029712
597,000000; -0,029453
596,000000; -0,029242
595,000000; -0,028998
594,000000; -0,028714
593,000000; -0,028498
592,000000; -0,028177
591,000000; -0,027949
590,000000; -0,027639
589,000000; -0,027366
588,000000; -0,027121
587,000000; -0,026815
586,000000; -0,026611
585,000000; -0,026386
584,000000; -0,026145
583,000000; -0,025920
582,000000; -0,025744
581,000000; -0,025593
580,000000; -0,025416
579,000000; -0,025314
578,000000; -0,025249
577,000000; -0,025113
576,000000; -0,025097
575,000000; -0,025113
574,000000; -0,025064
573,000000; -0,025109
572,000000; -0,025080
571,000000; -0,025183
570,000000; -0,025179
569,000000; -0,025265
568,000000; -0,025302
567,000000; -0,025371
566,000000; -0,025470
565,000000; -0,025539
564,000000; -0,025617
563,000000; -0,025719
562,000000; -0,025777
561,000000; -0,025855
560,000000; -0,025879
559,000000; -0,025916
558,000000; -0,026145
557,000000; -0,026210
556,000000; -0,026284
555,000000; -0,026353
554,000000; -0,026415
553,000000; -0,026505
552,000000; -0,026452
551,000000; -0,026525
550,000000; -0,026615
549,000000; -0,026676
548,000000; -0,026754
547,000000; -0,026709
546,000000; -0,026693
545,000000; -0,026713
544,000000; -0,026639
543,000000; -0,026590
542,000000; -0,026607
541,000000; -0,026460
540,000000; -0,026509
539,000000; -0,026407
538,000000; -0,026358
537,000000; -0,026349
536,000000; -0,026349
535,000000; -0,026284
534,000000; -0,026251
533,000000; -0,026174
532,000000; -0,026206
531,000000; -0,026153
530,000000; -0,026116
529,000000; -0,026006
528,000000; -0,026067
527,000000; -0,026026
526,000000; -0,025945
525,000000; -0,025932
524,000000; -0,025834
523,000000; -0,025842
