nm; A
700,000000; -0,000445
699,000000; -0,000445
698,000000; -0,000421
697,000000; -0,000453
696,000000; -0,000385
695,000000; -0,000421
694,000000; -0,000405
693,000000; -0,000341
692,000000; -0,000349
691,000000; -0,000249
690,000000; -0,000349
689,000000; -0,000321
688,000000; -0,000301
687,000000; -0,000285
686,000000; -0,000394
685,000000; -0,000366
684,000000; -0,000342
683,000000; -0,000221
682,000000; -0,000173
681,000000; -0,000277
680,000000; -0,000221
679,000000; -0,000173
678,000000; -0,000282
677,000000; -0,000197
676,000000; -0,000137
675,000000; -0,000229
674,000000; -0,000286
673,000000; -0,000209
672,000000; -0,000129
671,000000; -0,000181
670,000000; -0,000274
669,000000; -0,000189
668,000000; -0,000121
667,000000; -0,000222
666,000000; -0,000141
665,000000; -0,000206
664,000000; -0,000222
663,000000; -0,000198
662,000000; -0,000178
661,000000; -0,000141
660,000000; -0,000230
659,000000; -0,000145
658,000000; -0,000210
657,000000; -0,000206
656,000000; -0,000202
655,000000; -0,000234
654,000000; -0,000154
653,000000; -0,000150
652,000000; -0,000190
651,000000; -0,000214
650,000000; -0,000283
649,000000; -0,000263
648,000000; -0,000263
647,000000; -0,000206
646,000000; -0,000295
645,000000; -0,000210
644,000000; -0,000279
643,000000; -0,000247
642,000000; -0,000223
641,000000; -0,000316
640,000000; -0,000271
639,000000; -0,000296
638,000000; -0,000243
637,000000; -0,000263
636,000000; -0,000190
635,000000; -0,000284
634,000000; -0,000243
633,000000; -0,000219
632,000000; -0,000251
631,000000; -0,000251
630,000000; -0,000320
629,000000; -0,000227
628,000000; -0,000308
627,000000; -0,000223
626,000000; -0,000280
625,000000; -0,000288
624,000000; -0,000300
623,000000; -0,000219
622,000000; -0,000264
621,000000; -0,000199
620,000000; -0,000358
619,000000; -0,000317
618,000000; -0,000220
617,000000; -0,000256
616,000000; -0,000220
615,000000; -0,000228
614,000000; -0,000252
613,000000; -0,000297
612,000000; -0,000330
611,000000; -0,000273
610,000000; -0,000338
609,000000; -0,000318
608,000000; -0,000310
607,000000; -0,000253
606,000000; -0,000387
605,000000; -0,000318
604,000000; -0,000245
603,000000; -0,000323
602,000000; -0,000343
601,000000; -0,000380
600,000000; -0,000298
599,000000; -0,000278
598,000000; -0,000303
597,000000; -0,000287
596,000000; -0,000287
595,000000; -0,000307
594,000000; -0,000320
593,000000; -0,000328
592,000000; -0,000349
591,000000; -0,000316
590,000000; -0,000313
589,000000; -0,000304
588,000000; -0,000404
587,000000; -0,000301
586,000000; -0,000350
585,000000; -0,000305
584,000000; -0,000289
583,000000; -0,000339
582,000000; -0,000392
581,000000; -0,000252
580,000000; -0,000306
579,000000; -0,000331
578,000000; -0,000265
577,000000; -0,000285
576,000000; -0,000339
575,000000; -0,000252
574,000000; -0,000339
573,000000; -0,000306
572,000000; -0,000319
571,000000; -0,000364
570,000000; -0,000314
569,000000; -0,000356
568,000000; -0,000360
567,000000; -0,000364
566,000000; -0,000368
565,000000; -0,000331
564,000000; -0,000335
563,000000; -0,000359
562,000000; -0,000384
561,000000; -0,000355
560,000000; -0,000330
559,000000; -0,000438
558,000000; -0,000433
557,000000; -0,000442
556,000000; -0,000417
555,000000; -0,000429
554,000000; -0,000322
553,000000; -0,000289
552,000000; -0,000388
551,000000; -0,000396
550,000000; -0,000350
549,000000; -0,000326
548,000000; -0,000354
547,000000; -0,000363
546,000000; -0,000371
545,000000; -0,000367
544,000000; -0,000425
543,000000; -0,000388
542,000000; -0,000400
541,000000; -0,000363
540,000000; -0,000450
539,000000; -0,000408
538,000000; -0,000421
537,000000; -0,000363
536,000000; -0,000400
535,000000; -0,000421
534,000000; -0,000462
533,000000; -0,000380
532,000000; -0,000404
531,000000; -0,000429
530,000000; -0,000442
529,000000; -0,000409
528,000000; -0,000421
527,000000; -0,000429
526,000000; -0,000471
525,000000; -0,000314
524,000000; -0,000483
523,000000; -0,000392
522,000000; -0,000570
521,000000; -0,000487
520,000000; -0,000471
519,000000; -0,000558
518,000000; -0,000405
517,000000; -0,000537
516,000000; -0,000554
515,000000; -0,000558
514,000000; -0,000471
513,000000; -0,000459
512,000000; -0,000438
511,000000; -0,000393
510,000000; -0,000480
509,000000; -0,000492
508,000000; -0,000405
507,000000; -0,000459
506,000000; -0,000513
505,000000; -0,000480
504,000000; -0,000563
503,000000; -0,000505
502,000000; -0,000435
501,000000; -0,000501
500,000000; -0,000427
499,000000; -0,000398
498,000000; -0,000427
497,000000; -0,000522
496,000000; -0,000485
