nm; A
700,000000; 0,001762
699,000000; 0,001890
698,000000; 0,001815
697,000000; 0,001819
696,000000; 0,001800
695,000000; 0,001812
694,000000; 0,001808
693,000000; 0,001749
692,000000; 0,001817
691,000000; 0,001781
690,000000; 0,001854
689,000000; 0,001826
688,000000; 0,001794
687,000000; 0,001771
686,000000; 0,001855
685,000000; 0,001763
684,000000; 0,001724
683,000000; 0,001719
682,000000; 0,001751
681,000000; 0,001712
680,000000; 0,001788
679,000000; 0,001660
678,000000; 0,001648
677,000000; 0,001616
676,000000; 0,001765
675,000000; 0,001789
674,000000; 0,001693
673,000000; 0,001658
672,000000; 0,001702
671,000000; 0,001694
670,000000; 0,001747
669,000000; 0,001675
668,000000; 0,001735
667,000000; 0,001676
666,000000; 0,001692
665,000000; 0,001644
664,000000; 0,001677
663,000000; 0,001749
662,000000; 0,001673
661,000000; 0,001653
660,000000; 0,001609
659,000000; 0,001666
658,000000; 0,001694
657,000000; 0,001594
656,000000; 0,001654
655,000000; 0,001671
654,000000; 0,001575
653,000000; 0,001619
652,000000; 0,001627
651,000000; 0,001660
650,000000; 0,001564
649,000000; 0,001540
648,000000; 0,001576
647,000000; 0,001588
646,000000; 0,001488
645,000000; 0,001560
644,000000; 0,001561
643,000000; 0,001541
642,000000; 0,001529
641,000000; 0,001573
640,000000; 0,001497
639,000000; 0,001598
638,000000; 0,001570
637,000000; 0,001550
636,000000; 0,001514
635,000000; 0,001567
634,000000; 0,001522
633,000000; 0,001575
632,000000; 0,001547
631,000000; 0,001471
630,000000; 0,001592
629,000000; 0,001532
628,000000; 0,001443
627,000000; 0,001548
626,000000; 0,001512
625,000000; 0,001565
624,000000; 0,001545
623,000000; 0,001537
622,000000; 0,001586
621,000000; 0,001606
620,000000; 0,001586
619,000000; 0,001606
618,000000; 0,001457
617,000000; 0,001559
616,000000; 0,001579
615,000000; 0,001535
614,000000; 0,001535
613,000000; 0,001524
612,000000; 0,001532
611,000000; 0,001536
610,000000; 0,001537
609,000000; 0,001521
608,000000; 0,001513
607,000000; 0,001522
606,000000; 0,001522
605,000000; 0,001511
604,000000; 0,001540
603,000000; 0,001524
602,000000; 0,001561
601,000000; 0,001489
600,000000; 0,001485
599,000000; 0,001559
598,000000; 0,001450
597,000000; 0,001435
596,000000; 0,001542
595,000000; 0,001542
594,000000; 0,001470
593,000000; 0,001524
592,000000; 0,001484
591,000000; 0,001481
590,000000; 0,001539
589,000000; 0,001515
588,000000; 0,001541
587,000000; 0,001485
586,000000; 0,001498
585,000000; 0,001568
584,000000; 0,001520
583,000000; 0,001521
582,000000; 0,001542
581,000000; 0,001583
580,000000; 0,001510
579,000000; 0,001527
578,000000; 0,001552
577,000000; 0,001523
576,000000; 0,001552
575,000000; 0,001523
574,000000; 0,001569
573,000000; 0,001581
572,000000; 0,001507
571,000000; 0,001519
570,000000; 0,001478
569,000000; 0,001531
568,000000; 0,001461
567,000000; 0,001510
566,000000; 0,001510
565,000000; 0,001534
564,000000; 0,001493
563,000000; 0,001558
562,000000; 0,001558
561,000000; 0,001521
560,000000; 0,001508
559,000000; 0,001467
558,000000; 0,001434
557,000000; 0,001388
556,000000; 0,001429
555,000000; 0,001433
554,000000; 0,001474
553,000000; 0,001420
552,000000; 0,001367
551,000000; 0,001391
550,000000; 0,001399
549,000000; 0,001403
548,000000; 0,001452
547,000000; 0,001378
546,000000; 0,001403
545,000000; 0,001403
544,000000; 0,001342
543,000000; 0,001326
542,000000; 0,001461
541,000000; 0,001359
540,000000; 0,001486
539,000000; 0,001330
538,000000; 0,001359
537,000000; 0,001335
536,000000; 0,001474
535,000000; 0,001281
534,000000; 0,001314
533,000000; 0,001282
532,000000; 0,001294
