nm; A
700,000000; -0,021614
699,000000; -0,021627
698,000000; -0,021623
697,000000; -0,021604
696,000000; -0,021772
695,000000; -0,021638
694,000000; -0,021696
693,000000; -0,021631
692,000000; -0,021694
691,000000; -0,021688
690,000000; -0,021713
689,000000; -0,021764
688,000000; -0,021712
687,000000; -0,021703
686,000000; -0,021803
685,000000; -0,021719
684,000000; -0,021723
683,000000; -0,021644
682,000000; -0,021769
681,000000; -0,021720
680,000000; -0,021845
679,000000; -0,021835
678,000000; -0,021791
677,000000; -0,021729
676,000000; -0,021839
675,000000; -0,021805
674,000000; -0,021816
673,000000; -0,021828
672,000000; -0,021858
671,000000; -0,021905
670,000000; -0,021855
669,000000; -0,021856
668,000000; -0,021848
667,000000; -0,021921
666,000000; -0,021940
665,000000; -0,021955
664,000000; -0,021848
663,000000; -0,022020
662,000000; -0,021962
661,000000; -0,022062
660,000000; -0,021978
659,000000; -0,022001
658,000000; -0,022043
657,000000; -0,022043
656,000000; -0,022050
655,000000; -0,022089
654,000000; -0,022099
653,000000; -0,022081
652,000000; -0,022126
651,000000; -0,022231
650,000000; -0,022233
649,000000; -0,022190
648,000000; -0,022294
647,000000; -0,022272
646,000000; -0,022328
645,000000; -0,022303
644,000000; -0,022237
643,000000; -0,022293
642,000000; -0,022355
641,000000; -0,022427
640,000000; -0,022378
639,000000; -0,022426
638,000000; -0,022418
637,000000; -0,022418
636,000000; -0,022444
635,000000; -0,022548
634,000000; -0,022494
633,000000; -0,022520
632,000000; -0,022577
631,000000; -0,022612
630,000000; -0,022589
629,000000; -0,022664
628,000000; -0,022586
627,000000; -0,022644
626,000000; -0,022696
625,000000; -0,022647
624,000000; -0,022778
623,000000; -0,022746
622,000000; -0,022823
621,000000; -0,022829
620,000000; -0,022833
619,000000; -0,022863
618,000000; -0,022889
617,000000; -0,022862
616,000000; -0,022927
615,000000; -0,022949
614,000000; -0,022910
613,000000; -0,023010
612,000000; -0,023080
611,000000; -0,023071
610,000000; -0,023088
609,000000; -0,023133
608,000000; -0,023198
607,000000; -0,023194
606,000000; -0,023213
605,000000; -0,023246
604,000000; -0,023273
603,000000; -0,023334
602,000000; -0,023283
601,000000; -0,023386
600,000000; -0,023416
599,000000; -0,023398
598,000000; -0,023486
597,000000; -0,023531
596,000000; -0,023538
595,000000; -0,023501
594,000000; -0,023646
593,000000; -0,023582
592,000000; -0,023637
591,000000; -0,023643
590,000000; -0,023721
589,000000; -0,023708
588,000000; -0,023880
587,000000; -0,023816
586,000000; -0,023805
585,000000; -0,023864
584,000000; -0,023946
583,000000; -0,024056
582,000000; -0,024029
581,000000; -0,024073
580,000000; -0,024095
579,000000; -0,024175
578,000000; -0,024202
577,000000; -0,024175
576,000000; -0,024226
575,000000; -0,024333
574,000000; -0,024339
573,000000; -0,024378
572,000000; -0,024411
571,000000; -0,024488
570,000000; -0,024554
569,000000; -0,024553
568,000000; -0,024641
567,000000; -0,024614
566,000000; -0,024612
565,000000; -0,024679
564,000000; -0,024756
563,000000; -0,024756
562,000000; -0,024779
561,000000; -0,024861
560,000000; -0,024857
559,000000; -0,024925
558,000000; -0,024849
557,000000; -0,024892
556,000000; -0,024934
555,000000; -0,024957
554,000000; -0,024967
553,000000; -0,024944
552,000000; -0,024980
551,000000; -0,025125
550,000000; -0,025081
549,000000; -0,025193
548,000000; -0,025191
547,000000; -0,025208
546,000000; -0,025359
545,000000; -0,025322
544,000000; -0,025372
543,000000; -0,025322
542,000000; -0,025442
541,000000; -0,025450
540,000000; -0,025547
539,000000; -0,025528
538,000000; -0,025519
537,000000; -0,025640
536,000000; -0,025705
535,000000; -0,025698
534,000000; -0,025695
533,000000; -0,025818
532,000000; -0,025857
531,000000; -0,025909
530,000000; -0,025929
529,000000; -0,025992
528,000000; -0,025983
527,000000; -0,025995
526,000000; -0,026127
525,000000; -0,026235
524,000000; -0,026227
523,000000; -0,026333
522,000000; -0,026312
521,000000; -0,026417
520,000000; -0,026422
519,000000; -0,026549
518,000000; -0,026514
517,000000; -0,026560
516,000000; -0,026621
515,000000; -0,026628
514,000000; -0,026734
513,000000; -0,026776
512,000000; -0,026938
511,000000; -0,026945
510,000000; -0,026857
509,000000; -0,026904
508,000000; -0,027043
507,000000; -0,027050
506,000000; -0,027080
505,000000; -0,027097
504,000000; -0,027135
503,000000; -0,027246
502,000000; -0,027248
501,000000; -0,027371
500,000000; -0,027303
499,000000; -0,027400
498,000000; -0,027441
497,000000; -0,027419
496,000000; -0,027550
495,000000; -0,027467
494,000000; -0,027658
