nm; A
700,000000; 0,132836
699,000000; 0,132860
698,000000; 0,132995
697,000000; 0,133045
696,000000; 0,133151
695,000000; 0,133276
694,000000; 0,133323
693,000000; 0,133510
692,000000; 0,133795
691,000000; 0,134039
690,000000; 0,134280
689,000000; 0,134528
688,000000; 0,134756
687,000000; 0,134988
686,000000; 0,135054
685,000000; 0,135191
684,000000; 0,135242
683,000000; 0,135621
682,000000; 0,135718
681,000000; 0,135624
680,000000; 0,135726
679,000000; 0,135680
678,000000; 0,135749
677,000000; 0,135779
676,000000; 0,135944
675,000000; 0,135812
674,000000; 0,135910
673,000000; 0,136033
672,000000; 0,136203
671,000000; 0,136234
670,000000; 0,136226
669,000000; 0,136314
668,000000; 0,136522
667,000000; 0,136626
666,000000; 0,136934
665,000000; 0,136941
664,000000; 0,137217
663,000000; 0,137485
662,000000; 0,137661
661,000000; 0,137952
660,000000; 0,138162
659,000000; 0,138406
658,000000; 0,138503
657,000000; 0,138650
656,000000; 0,138853
655,000000; 0,139008
654,000000; 0,139176
653,000000; 0,139437
652,000000; 0,139490
651,000000; 0,139661
650,000000; 0,139677
649,000000; 0,139891
648,000000; 0,139908
647,000000; 0,140105
646,000000; 0,140034
645,000000; 0,140179
644,000000; 0,140213
643,000000; 0,140101
642,000000; 0,140236
641,000000; 0,140139
640,000000; 0,140237
639,000000; 0,140173
638,000000; 0,140128
637,000000; 0,140082
636,000000; 0,139962
635,000000; 0,139791
634,000000; 0,139707
633,000000; 0,139617
632,000000; 0,139386
631,000000; 0,139319
630,000000; 0,139146
629,000000; 0,138968
628,000000; 0,138832
627,000000; 0,138745
626,000000; 0,138513
625,000000; 0,138380
624,000000; 0,138250
623,000000; 0,138077
622,000000; 0,137872
621,000000; 0,137786
620,000000; 0,137563
619,000000; 0,137439
618,000000; 0,137370
617,000000; 0,137276
616,000000; 0,137190
615,000000; 0,137082
614,000000; 0,136982
613,000000; 0,136816
612,000000; 0,136697
611,000000; 0,136663
610,000000; 0,136409
609,000000; 0,136315
608,000000; 0,136161
607,000000; 0,136188
606,000000; 0,136118
605,000000; 0,136078
