nm; A
700,000000; 0,069526
699,000000; 0,069543
698,000000; 0,069659
697,000000; 0,069688
696,000000; 0,069748
695,000000; 0,069735
694,000000; 0,069832
693,000000; 0,069810
692,000000; 0,069858
691,000000; 0,069924
690,000000; 0,070046
689,000000; 0,069957
688,000000; 0,070082
687,000000; 0,070172
686,000000; 0,070138
685,000000; 0,070188
684,000000; 0,070167
683,000000; 0,070565
682,000000; 0,070808
681,000000; 0,070668
680,000000; 0,070826
679,000000; 0,070839
678,000000; 0,070858
677,000000; 0,070952
676,000000; 0,071066
675,000000; 0,070919
674,000000; 0,071058
673,000000; 0,071061
672,000000; 0,071199
671,000000; 0,071202
670,000000; 0,071201
669,000000; 0,071377
668,000000; 0,071470
667,000000; 0,071495
666,000000; 0,071559
665,000000; 0,071597
664,000000; 0,071582
663,000000; 0,071735
662,000000; 0,071756
661,000000; 0,071758
660,000000; 0,071849
659,000000; 0,072067
658,000000; 0,072019
657,000000; 0,071980
656,000000; 0,072215
655,000000; 0,072172
654,000000; 0,072254
653,000000; 0,072409
652,000000; 0,072412
651,000000; 0,072430
650,000000; 0,072456
649,000000; 0,072555
648,000000; 0,072615
647,000000; 0,072794
646,000000; 0,072743
645,000000; 0,072921
644,000000; 0,072855
643,000000; 0,072964
642,000000; 0,073106
641,000000; 0,073156
640,000000; 0,073181
639,000000; 0,073292
638,000000; 0,073330
637,000000; 0,073355
636,000000; 0,073518
635,000000; 0,073557
634,000000; 0,073592
633,000000; 0,073691
632,000000; 0,073762
631,000000; 0,073866
630,000000; 0,073829
629,000000; 0,073990
628,000000; 0,074050
627,000000; 0,074168
626,000000; 0,074202
625,000000; 0,074243
624,000000; 0,074396
623,000000; 0,074433
622,000000; 0,074464
621,000000; 0,074597
620,000000; 0,074598
619,000000; 0,074633
618,000000; 0,074796
617,000000; 0,074843
616,000000; 0,074959
615,000000; 0,075037
614,000000; 0,075061
613,000000; 0,075095
612,000000; 0,075250
611,000000; 0,075346
610,000000; 0,075237
609,000000; 0,075414
608,000000; 0,075432
607,000000; 0,075592
606,000000; 0,075616
605,000000; 0,075661
604,000000; 0,075777
603,000000; 0,075784
602,000000; 0,075904
601,000000; 0,075909
600,000000; 0,075994
599,000000; 0,076106
598,000000; 0,076119
597,000000; 0,076160
596,000000; 0,076230
595,000000; 0,076247
594,000000; 0,076293
593,000000; 0,076376
592,000000; 0,076373
591,000000; 0,076419
590,000000; 0,076476
589,000000; 0,076599
588,000000; 0,076536
587,000000; 0,076646
586,000000; 0,076666
585,000000; 0,076701
584,000000; 0,076726
583,000000; 0,076786
582,000000; 0,076787
581,000000; 0,076979
580,000000; 0,076955
579,000000; 0,076938
578,000000; 0,077141
577,000000; 0,077081
576,000000; 0,077080
575,000000; 0,077246
574,000000; 0,077219
573,000000; 0,077286
572,000000; 0,077390
571,000000; 0,077399
570,000000; 0,077466
569,000000; 0,077549
568,000000; 0,077534
567,000000; 0,077512
566,000000; 0,077652
565,000000; 0,077820
564,000000; 0,077723
563,000000; 0,077808
562,000000; 0,077805
561,000000; 0,077950
560,000000; 0,077910
559,000000; 0,077986
558,000000; 0,077750
557,000000; 0,077738
556,000000; 0,077728
555,000000; 0,077892
554,000000; 0,077946
553,000000; 0,078135
552,000000; 0,078086
551,000000; 0,078159
550,000000; 0,078136
549,000000; 0,078368
548,000000; 0,078386
547,000000; 0,078315
546,000000; 0,078504
545,000000; 0,078608
544,000000; 0,078644
543,000000; 0,078751
542,000000; 0,078711
541,000000; 0,078933
540,000000; 0,079017
539,000000; 0,079034
538,000000; 0,079109
537,000000; 0,079151
536,000000; 0,079341
535,000000; 0,079346
534,000000; 0,079422
533,000000; 0,079562
532,000000; 0,079593
531,000000; 0,079667
530,000000; 0,079743
529,000000; 0,079869
528,000000; 0,079949
527,000000; 0,079988
526,000000; 0,080107
525,000000; 0,080193
524,000000; 0,080255
523,000000; 0,080403
522,000000; 0,080405
521,000000; 0,080483
520,000000; 0,080556
519,000000; 0,080591
518,000000; 0,080680
517,000000; 0,080732
516,000000; 0,080914
515,000000; 0,080865
514,000000; 0,081070
513,000000; 0,081082
512,000000; 0,081185
511,000000; 0,081380
510,000000; 0,081314
509,000000; 0,081475
508,000000; 0,081546
507,000000; 0,081641
506,000000; 0,081647
505,000000; 0,081908
504,000000; 0,081991
503,000000; 0,082036
502,000000; 0,082199
501,000000; 0,082216
500,000000; 0,082318
499,000000; 0,082528
498,000000; 0,082500
497,000000; 0,082646
496,000000; 0,082640
495,000000; 0,082628
494,000000; 0,082817
493,000000; 0,082852
492,000000; 0,082948
491,000000; 0,083066
490,000000; 0,083151
489,000000; 0,083133
488,000000; 0,083332
487,000000; 0,083454
486,000000; 0,083440
485,000000; 0,083520
484,000000; 0,083671
483,000000; 0,083730
482,000000; 0,083768
481,000000; 0,083908
480,000000; 0,083952
479,000000; 0,084047
478,000000; 0,084144
477,000000; 0,084201
476,000000; 0,084309
475,000000; 0,084231
474,000000; 0,084558
473,000000; 0,084511
472,000000; 0,084617
471,000000; 0,084684
470,000000; 0,084754
469,000000; 0,084886
468,000000; 0,084930
467,000000; 0,084982
466,000000; 0,085049
465,000000; 0,085136
464,000000; 0,085165
463,000000; 0,085303
462,000000; 0,085475
461,000000; 0,085466
460,000000; 0,085527
459,000000; 0,085627
458,000000; 0,085810
457,000000; 0,085696
456,000000; 0,085849
455,000000; 0,086015
454,000000; 0,086096
453,000000; 0,086155
452,000000; 0,086319
451,000000; 0,086567
450,000000; 0,086626
449,000000; 0,086746
448,000000; 0,086819
447,000000; 0,087114
446,000000; 0,087069
