nm; A
700,000000; 0,125748
699,000000; 0,125748
698,000000; 0,125854
697,000000; 0,125835
696,000000; 0,125910
695,000000; 0,126035
694,000000; 0,126018
693,000000; 0,126081
692,000000; 0,126130
691,000000; 0,126237
690,000000; 0,126319
689,000000; 0,126350
688,000000; 0,126442
687,000000; 0,126493
686,000000; 0,126582
685,000000; 0,126676
684,000000; 0,126697
683,000000; 0,127404
682,000000; 0,127723
681,000000; 0,127792
680,000000; 0,127898
679,000000; 0,127940
678,000000; 0,127893
677,000000; 0,127933
676,000000; 0,128130
675,000000; 0,128126
674,000000; 0,128283
673,000000; 0,128328
672,000000; 0,128407
671,000000; 0,128527
670,000000; 0,128725
669,000000; 0,128830
668,000000; 0,128868
667,000000; 0,128918
666,000000; 0,129062
665,000000; 0,129169
664,000000; 0,129332
663,000000; 0,129456
662,000000; 0,129538
661,000000; 0,129507
660,000000; 0,129696
659,000000; 0,129784
658,000000; 0,129825
657,000000; 0,129958
656,000000; 0,130035
655,000000; 0,130016
654,000000; 0,130108
653,000000; 0,130209
652,000000; 0,130269
651,000000; 0,130396
650,000000; 0,130528
649,000000; 0,130527
648,000000; 0,130650
647,000000; 0,130793
646,000000; 0,130748
645,000000; 0,130907
644,000000; 0,131065
643,000000; 0,131161
642,000000; 0,131260
641,000000; 0,131357
640,000000; 0,131485
639,000000; 0,131591
638,000000; 0,131776
637,000000; 0,131832
636,000000; 0,131962
635,000000; 0,132005
634,000000; 0,132228
633,000000; 0,132254
632,000000; 0,132406
631,000000; 0,132543
630,000000; 0,132605
629,000000; 0,132755
628,000000; 0,132925
627,000000; 0,132981
626,000000; 0,133213
625,000000; 0,133307
624,000000; 0,133408
623,000000; 0,133481
622,000000; 0,133613
621,000000; 0,133752
620,000000; 0,133852
619,000000; 0,134041
618,000000; 0,134114
617,000000; 0,134226
616,000000; 0,134394
615,000000; 0,134484
614,000000; 0,134638
613,000000; 0,134747
612,000000; 0,134960
611,000000; 0,135043
610,000000; 0,135197
609,000000; 0,135301
608,000000; 0,135426
607,000000; 0,135591
606,000000; 0,135746
605,000000; 0,135884
604,000000; 0,135971
603,000000; 0,136190
602,000000; 0,136259
601,000000; 0,136328
600,000000; 0,136524
599,000000; 0,136520
598,000000; 0,136644
597,000000; 0,136686
596,000000; 0,136829
595,000000; 0,136933
594,000000; 0,137029
593,000000; 0,137077
592,000000; 0,137170
591,000000; 0,137272
590,000000; 0,137426
589,000000; 0,137459
588,000000; 0,137518
587,000000; 0,137626
586,000000; 0,137797
585,000000; 0,137826
584,000000; 0,138011
583,000000; 0,138023
582,000000; 0,138203
581,000000; 0,138244
580,000000; 0,138316
579,000000; 0,138431
578,000000; 0,138567
577,000000; 0,138768
576,000000; 0,138814
575,000000; 0,138894
574,000000; 0,138986
573,000000; 0,139135
572,000000; 0,139154
571,000000; 0,139245
570,000000; 0,139282
569,000000; 0,139402
568,000000; 0,139590
567,000000; 0,139639
566,000000; 0,139787
565,000000; 0,139907
564,000000; 0,139965
