nm; A
700,000000; 2,280064
699,000000; 2,283434
698,000000; 2,285447
697,000000; 2,288177
696,000000; 2,288697
695,000000; 2,290053
694,000000; 2,290602
693,000000; 2,292017
692,000000; 2,293270
691,000000; 2,293189
690,000000; 2,296739
689,000000; 2,297307
688,000000; 2,297252
687,000000; 2,299359
686,000000; 2,299961
685,000000; 2,302146
684,000000; 2,301288
683,000000; 2,305012
682,000000; 2,307275
681,000000; 2,307924
680,000000; 2,308683
679,000000; 2,311735
678,000000; 2,310799
677,000000; 2,312997
676,000000; 2,316018
675,000000; 2,312109
674,000000; 2,314307
673,000000; 2,317321
672,000000; 2,316455
671,000000; 2,317871
670,000000; 2,319385
669,000000; 2,319326
668,000000; 2,321550
667,000000; 2,319887
666,000000; 2,323728
665,000000; 2,324456
664,000000; 2,325272
663,000000; 2,325131
662,000000; 2,327477
661,000000; 2,328898
660,000000; 2,328083
659,000000; 2,327200
658,000000; 2,329478
657,000000; 2,331805
656,000000; 2,332539
655,000000; 2,333991
654,000000; 2,334728
653,000000; 2,334654
652,000000; 2,336159
651,000000; 2,335308
650,000000; 2,337674
649,000000; 2,339236
648,000000; 2,338364
647,000000; 2,339977
646,000000; 2,341488
645,000000; 2,342278
644,000000; 2,343851
643,000000; 2,342170
642,000000; 2,344559
641,000000; 2,346171
640,000000; 2,346918
639,000000; 2,348487
638,000000; 2,348491
637,000000; 2,350077
636,000000; 2,350843
635,000000; 2,349071
634,000000; 2,351566
633,000000; 2,353124
632,000000; 2,353949
631,000000; 2,354700
630,000000; 2,357188
629,000000; 2,357121
628,000000; 2,357916
627,000000; 2,357860
626,000000; 2,358739
625,000000; 2,361133
624,000000; 2,361118
623,000000; 2,362757
622,000000; 2,362671
621,000000; 2,364343
620,000000; 2,365987
619,000000; 2,363355
618,000000; 2,365853
617,000000; 2,367460
616,000000; 2,369141
615,000000; 2,369936
614,000000; 2,369876
613,000000; 2,371493
612,000000; 2,372319
611,000000; 2,371325
610,000000; 2,374733
609,000000; 2,375514
608,000000; 2,377160
607,000000; 2,378828
606,000000; 2,380488
605,000000; 2,382159
604,000000; 2,381950
603,000000; 2,382758
602,000000; 2,386157
601,000000; 2,389571
600,000000; 2,391254
599,000000; 2,392794
598,000000; 2,394384
597,000000; 2,397854
596,000000; 2,402336
595,000000; 2,402963
594,000000; 2,406521
593,000000; 2,411059
592,000000; 2,414650
591,000000; 2,419278
590,000000; 2,424995
589,000000; 2,427731
588,000000; 2,433536
587,000000; 2,434271
586,000000; 2,443376
585,000000; 2,446263
584,000000; 2,452460
583,000000; 2,456544
582,000000; 2,459658
581,000000; 2,463825
580,000000; 2,468063
579,000000; 2,469121
578,000000; 2,472427
577,000000; 2,475808
576,000000; 2,480261
575,000000; 2,480242
574,000000; 2,483712
573,000000; 2,486048
572,000000; 2,486082
571,000000; 2,487279
570,000000; 2,489655
569,000000; 2,492113
568,000000; 2,491062
567,000000; 2,493481
566,000000; 2,493572
565,000000; 2,494837
564,000000; 2,496132
563,000000; 2,493810
562,000000; 2,496253
561,000000; 2,497596
560,000000; 2,500016
559,000000; 2,498905
558,000000; 2,492024
557,000000; 2,489864
556,000000; 2,489921
555,000000; 2,488815
554,000000; 2,492458
553,000000; 2,492564
552,000000; 2,492662
551,000000; 2,493955
550,000000; 2,495197
549,000000; 2,494094
548,000000; 2,493013
547,000000; 2,490676
546,000000; 2,494230
545,000000; 2,494185
544,000000; 2,491860
543,000000; 2,493077
542,000000; 2,493055
541,000000; 2,494162
540,000000; 2,494211
539,000000; 2,491841
538,000000; 2,496519
537,000000; 2,497749
536,000000; 2,497764
535,000000; 2,498937
534,000000; 2,501357
533,000000; 2,501308
532,000000; 2,501361
531,000000; 2,498975
530,000000; 2,501346
529,000000; 2,506158
528,000000; 2,503704
527,000000; 2,508611
526,000000; 2,506143
525,000000; 2,506226
524,000000; 2,507404
523,000000; 2,505037
522,000000; 2,507388
521,000000; 2,508641
520,000000; 2,511047
519,000000; 2,509829
518,000000; 2,512280
517,000000; 2,512313
516,000000; 2,512283
515,000000; 2,511047
514,000000; 2,513501
513,000000; 2,518386
512,000000; 2,517049
511,000000; 2,517117
510,000000; 2,518356
509,000000; 2,520753
508,000000; 2,520768
507,000000; 2,515693
506,000000; 2,524487
505,000000; 2,519398
504,000000; 2,523169
503,000000; 2,525634
502,000000; 2,526947
501,000000; 2,528178
500,000000; 2,526864
499,000000; 2,524256
498,000000; 2,525528
497,000000; 2,528030
496,000000; 2,531751
495,000000; 2,527913
494,000000; 2,525351
493,000000; 2,529132
492,000000; 2,531664
491,000000; 2,522713
490,000000; 2,527709
489,000000; 2,524034
488,000000; 2,526547
487,000000; 2,526521
486,000000; 2,526494
485,000000; 2,526373
484,000000; 2,526377
483,000000; 2,517544
482,000000; 2,523690
481,000000; 2,523497
480,000000; 2,523467
479,000000; 2,523395
478,000000; 2,520824
477,000000; 2,520794
476,000000; 2,519476
475,000000; 2,515711
474,000000; 2,516863
473,000000; 2,514359
472,000000; 2,513043
471,000000; 2,518067
470,000000; 2,511739
469,000000; 2,511770
468,000000; 2,514275
467,000000; 2,507985
466,000000; 2,509252
465,000000; 2,509206
464,000000; 2,511618
463,000000; 2,507905
462,000000; 2,506600
461,000000; 2,507754
460,000000; 2,500487
459,000000; 2,494447
458,000000; 2,496774
457,000000; 2,496687
456,000000; 2,496566
455,000000; 2,492848
454,000000; 2,490369
453,000000; 2,486767
452,000000; 2,487800
451,000000; 2,474992
450,000000; 2,484015
449,000000; 2,481454
448,000000; 2,477772
447,000000; 2,475367
446,000000; 2,472829
445,000000; 2,472722
444,000000; 2,473676
443,000000; 2,460102
442,000000; 2,467810
441,000000; 2,468805
440,000000; 2,465455
439,000000; 2,464233
438,000000; 2,465352
437,000000; 2,460867
436,000000; 2,459801
435,000000; 2,456648
434,000000; 2,455471
433,000000; 2,455520
