nm; A
700,000000; 0,023610
699,000000; 0,023896
698,000000; 0,024171
697,000000; 0,024432
696,000000; 0,024674
695,000000; 0,025032
694,000000; 0,025344
693,000000; 0,025592
692,000000; 0,026018
691,000000; 0,026302
690,000000; 0,026682
689,000000; 0,026971
688,000000; 0,027344
687,000000; 0,027623
686,000000; 0,028020
685,000000; 0,028305
684,000000; 0,028673
683,000000; 0,028929
682,000000; 0,029359
681,000000; 0,029646
680,000000; 0,030150
679,000000; 0,030318
678,000000; 0,030736
677,000000; 0,031073
676,000000; 0,031470
675,000000; 0,031839
674,000000; 0,032156
673,000000; 0,032600
672,000000; 0,032971
671,000000; 0,033350
670,000000; 0,033723
669,000000; 0,034087
668,000000; 0,034513
667,000000; 0,034832
666,000000; 0,035205
665,000000; 0,035494
664,000000; 0,036028
663,000000; 0,036399
662,000000; 0,036794
661,000000; 0,037165
660,000000; 0,037568
659,000000; 0,037915
658,000000; 0,038374
657,000000; 0,038756
656,000000; 0,039175
655,000000; 0,039583
654,000000; 0,039891
653,000000; 0,040291
652,000000; 0,040687
651,000000; 0,041045
650,000000; 0,041346
649,000000; 0,041733
648,000000; 0,042096
647,000000; 0,042410
646,000000; 0,042785
645,000000; 0,043164
644,000000; 0,043477
643,000000; 0,043854
642,000000; 0,044168
641,000000; 0,044526
640,000000; 0,044814
639,000000; 0,045229
638,000000; 0,045584
637,000000; 0,045818
636,000000; 0,046124
635,000000; 0,046511
634,000000; 0,046792
633,000000; 0,047020
632,000000; 0,047392
631,000000; 0,047633
630,000000; 0,048031
629,000000; 0,048192
628,000000; 0,048389
627,000000; 0,048745
626,000000; 0,049066
625,000000; 0,049359
624,000000; 0,049523
623,000000; 0,049906
622,000000; 0,050142
621,000000; 0,050459
620,000000; 0,050777
619,000000; 0,050996
618,000000; 0,051291
617,000000; 0,051540
616,000000; 0,051958
615,000000; 0,052337
614,000000; 0,052732
613,000000; 0,053088
612,000000; 0,053544
611,000000; 0,054017
610,000000; 0,054523
609,000000; 0,055047
608,000000; 0,055550
607,000000; 0,056120
606,000000; 0,056839
605,000000; 0,057466
604,000000; 0,058129
603,000000; 0,058862
602,000000; 0,059555
601,000000; 0,060219
600,000000; 0,060913
599,000000; 0,061641
598,000000; 0,062511
597,000000; 0,063241
596,000000; 0,064294
595,000000; 0,065357
594,000000; 0,066543
593,000000; 0,068118
592,000000; 0,069756
591,000000; 0,071929
590,000000; 0,074256
589,000000; 0,077181
588,000000; 0,080630
587,000000; 0,084777
586,000000; 0,089645
585,000000; 0,095452
584,000000; 0,102305
583,000000; 0,110161
582,000000; 0,119247
581,000000; 0,129485
580,000000; 0,140961
579,000000; 0,153327
578,000000; 0,166850
577,000000; 0,180854
576,000000; 0,195272
575,000000; 0,209316
574,000000; 0,222468
573,000000; 0,234634
572,000000; 0,245102
571,000000; 0,253809
570,000000; 0,260450
569,000000; 0,265189
568,000000; 0,268187
567,000000; 0,269794
566,000000; 0,270335
565,000000; 0,270259
564,000000; 0,270131
563,000000; 0,270134
562,000000; 0,270825
561,000000; 0,272716
560,000000; 0,276274
559,000000; 0,281811
558,000000; 0,290235
557,000000; 0,300764
556,000000; 0,314013
555,000000; 0,329569
554,000000; 0,347187
553,000000; 0,366227
552,000000; 0,385920
551,000000; 0,404892
550,000000; 0,422583
549,000000; 0,438405
548,000000; 0,450666
547,000000; 0,459106
546,000000; 0,463496
545,000000; 0,464087
544,000000; 0,461028
543,000000; 0,455056
542,000000; 0,447132
541,000000; 0,437695
540,000000; 0,427959
539,000000; 0,418791
538,000000; 0,411165
537,000000; 0,405735
536,000000; 0,402842
535,000000; 0,402880
534,000000; 0,406261
533,000000; 0,412755
532,000000; 0,422326
531,000000; 0,433455
530,000000; 0,445591
529,000000; 0,457464
528,000000; 0,468031
527,000000; 0,475835
526,000000; 0,480316
525,000000; 0,480749
524,000000; 0,477260
523,000000; 0,470168
522,000000; 0,459859
521,000000; 0,447045
520,000000; 0,432798
519,000000; 0,417926
518,000000; 0,403388
517,000000; 0,389765
516,000000; 0,377926
515,000000; 0,368827
514,000000; 0,362287
513,000000; 0,358539
512,000000; 0,357517
511,000000; 0,358602
510,000000; 0,360929
509,000000; 0,363641
508,000000; 0,366011
507,000000; 0,366446
506,000000; 0,364462
505,000000; 0,359947
504,000000; 0,352609
503,000000; 0,342616
502,000000; 0,330907
501,000000; 0,317951
500,000000; 0,304363
499,000000; 0,290891
498,000000; 0,278288
497,000000; 0,267017
496,000000; 0,257155
495,000000; 0,249340
494,000000; 0,243375
493,000000; 0,238997
492,000000; 0,235942
491,000000; 0,233743
490,000000; 0,231734
489,000000; 0,229365
488,000000; 0,226130
487,000000; 0,221558
486,000000; 0,215580
485,000000; 0,208513
484,000000; 0,200325
483,000000; 0,191365
482,000000; 0,182136
481,000000; 0,173054
480,000000; 0,164765
479,000000; 0,157270
478,000000; 0,150777
477,000000; 0,145302
476,000000; 0,140885
475,000000; 0,137256
474,000000; 0,134320
473,000000; 0,131533
472,000000; 0,128826
471,000000; 0,125817
470,000000; 0,122420
469,000000; 0,118496
468,000000; 0,114064
467,000000; 0,109550
466,000000; 0,104731
465,000000; 0,099691
464,000000; 0,095140
463,000000; 0,090852
462,000000; 0,087108
461,000000; 0,083708
460,000000; 0,081001
459,000000; 0,078593
458,000000; 0,076523
457,000000; 0,074640
456,000000; 0,072773
455,000000; 0,071164
454,000000; 0,069066
453,000000; 0,066905
452,000000; 0,064661
451,000000; 0,062405
450,000000; 0,060072
449,000000; 0,057901
448,000000; 0,056116
447,000000; 0,054436
446,000000; 0,052855
445,000000; 0,051456
444,000000; 0,050469
443,000000; 0,049222
442,000000; 0,048402
441,000000; 0,047497
440,000000; 0,046393
439,000000; 0,045543
438,000000; 0,044658
437,000000; 0,043803
436,000000; 0,042860
435,000000; 0,041789
434,000000; 0,041170
433,000000; 0,040485
432,000000; 0,039799
431,000000; 0,039265
430,000000; 0,038911
429,000000; 0,038440
428,000000; 0,038030
427,000000; 0,037869
426,000000; 0,037636
425,000000; 0,037372
424,000000; 0,037145
423,000000; 0,036922
422,000000; 0,036835
421,000000; 0,036879
420,000000; 0,036874
419,000000; 0,036854
418,000000; 0,037055
417,000000; 0,037241
416,000000; 0,037475
415,000000; 0,037779
414,000000; 0,038211
413,000000; 0,038687
412,000000; 0,039326
411,000000; 0,039897
410,000000; 0,040658
409,000000; 0,041582
408,000000; 0,042379
407,000000; 0,043413
406,000000; 0,044630
405,000000; 0,045750
404,000000; 0,047220
403,000000; 0,048666
402,000000; 0,050395
401,000000; 0,052065
400,000000; 0,054045
399,000000; 0,056045
398,000000; 0,058340
397,000000; 0,060683
396,000000; 0,063082
395,000000; 0,065781
394,000000; 0,068626
393,000000; 0,071644
392,000000; 0,074628
391,000000; 0,077848
390,000000; 0,081394
389,000000; 0,085164
388,000000; 0,089027
387,000000; 0,093175
386,000000; 0,097369
385,000000; 0,101487
384,000000; 0,105753
383,000000; 0,109960
382,000000; 0,114168
381,000000; 0,118679
380,000000; 0,123530
379,000000; 0,128439
378,000000; 0,133229
377,000000; 0,138577
376,000000; 0,143818
375,000000; 0,149133
374,000000; 0,154350
373,000000; 0,159473
372,000000; 0,164591
371,000000; 0,169701
370,000000; 0,174553
369,000000; 0,179750
368,000000; 0,185451
367,000000; 0,190979
366,000000; 0,196401
365,000000; 0,202033
364,000000; 0,207103
363,000000; 0,211782
362,000000; 0,216674
361,000000; 0,221079
360,000000; 0,225764
359,000000; 0,230143
358,000000; 0,234743
357,000000; 0,239097
356,000000; 0,243203
355,000000; 0,247103
354,000000; 0,250541
353,000000; 0,253399
352,000000; 0,256117
351,000000; 0,258686
350,000000; 0,261365
349,000000; 0,263909
348,000000; 0,266159
347,000000; 0,268237
346,000000; 0,270076
345,000000; 0,271295
344,000000; 0,272606
343,000000; 0,273667
342,000000; 0,274750
341,000000; 0,275464
340,000000; 0,276987
339,000000; 0,278699
338,000000; 0,280900
337,000000; 0,283603
336,000000; 0,286361
335,000000; 0,289107
334,000000; 0,290908
333,000000; 0,292606
332,000000; 0,293613
331,000000; 0,295092
330,000000; 0,298150
329,000000; 0,302788
328,000000; 0,309060
327,000000; 0,316325
326,000000; 0,321036
325,000000; 0,322826
324,000000; 0,323304
323,000000; 0,323719
322,000000; 0,326922
321,000000; 0,332884
320,000000; 0,341069
319,000000; 0,348639
318,000000; 0,352997
317,000000; 0,353435
316,000000; 0,351760
315,000000; 0,350230
314,000000; 0,351518
313,000000; 0,356443
312,000000; 0,362954
311,000000; 0,367123
310,000000; 0,366914
309,000000; 0,363065
308,000000; 0,357325
307,000000; 0,353250
306,000000; 0,352191
305,000000; 0,352465
304,000000; 0,351204
303,000000; 0,346152
302,000000; 0,337625
301,000000; 0,328177
300,000000; 0,319869
299,000000; 0,313453
298,000000; 0,307318
297,000000; 0,299629
296,000000; 0,289351
295,000000; 0,277622
294,000000; 0,266403
293,000000; 0,256832
292,000000; 0,247889
291,000000; 0,238471
290,000000; 0,228580
289,000000; 0,217412
288,000000; 0,206726
287,000000; 0,197571
286,000000; 0,188773
285,000000; 0,180689
284,000000; 0,172644
283,000000; 0,164101
282,000000; 0,156182
281,000000; 0,149117
280,000000; 0,143123
279,000000; 0,137440
278,000000; 0,132042
277,000000; 0,126962
276,000000; 0,122726
275,000000; 0,119356
274,000000; 0,116569
273,000000; 0,114565
272,000000; 0,112672
271,000000; 0,111590
270,000000; 0,111357
269,000000; 0,111798
268,000000; 0,112561
267,000000; 0,113967
266,000000; 0,115763
265,000000; 0,118080
264,000000; 0,120941
263,000000; 0,124458
262,000000; 0,128041
261,000000; 0,132453
260,000000; 0,137102
259,000000; 0,142164
258,000000; 0,147535
257,000000; 0,153406
256,000000; 0,159593
255,000000; 0,166071
254,000000; 0,173042
253,000000; 0,180148
252,000000; 0,187700
251,000000; 0,195863
250,000000; 0,204217
249,000000; 0,213183
248,000000; 0,222068
247,000000; 0,231573
246,000000; 0,241091
245,000000; 0,251026
244,000000; 0,260869
243,000000; 0,270590
242,000000; 0,280520
241,000000; 0,290376
240,000000; 0,299909
239,000000; 0,309272
238,000000; 0,318193
237,000000; 0,326732
236,000000; 0,335273
235,000000; 0,343146
234,000000; 0,350985
233,000000; 0,357998
232,000000; 0,364837
231,000000; 0,371231
230,000000; 0,376900
229,000000; 0,382467
228,000000; 0,387684
227,000000; 0,392722
226,000000; 0,397471
225,000000; 0,402058
224,000000; 0,406728
223,000000; 0,411268
222,000000; 0,416311
221,000000; 0,421719
220,000000; 0,427918
219,000000; 0,434915
218,000000; 0,442877
217,000000; 0,452361
216,000000; 0,463509
215,000000; 0,476220
214,000000; 0,491586
213,000000; 0,510050
212,000000; 0,532298
211,000000; 0,559045
210,000000; 0,592002
209,000000; 0,631890
208,000000; 0,680582
207,000000; 0,741136
206,000000; 0,815733
205,000000; 0,906675
204,000000; 1,015650
203,000000; 1,144604
202,000000; 1,292065
201,000000; 1,458366
200,000000; 1,639828
199,000000; 1,826251
198,000000; 1,998721
197,000000; 2,157700
196,000000; 2,275824
195,000000; 2,321147
194,000000; 2,389030
193,000000; 2,314515
192,000000; 2,345170
191,000000; 2,228917
190,000000; 2,125222
