nm; A
700,000000; 4,373486
699,000000; 4,294157
698,000000; 4,294047
697,000000; 4,373111
696,000000; 4,469826
695,000000; 4,293657
694,000000; 4,372669
693,000000; 4,293462
692,000000; 4,372452
691,000000; 4,117098
690,000000; 4,372286
689,000000; 4,292942
688,000000; 4,372068
687,000000; 4,371976
686,000000; 4,371843
685,000000; 4,292633
684,000000; 4,371696
683,000000; 4,468621
682,000000; 5,070703
681,000000; 5,070603
680,000000; 10,000000
679,000000; 5,070647
678,000000; 10,000000
677,000000; 10,000000
676,000000; 5,070367
675,000000; 4,593142
674,000000; 4,593061
673,000000; 10,000000
672,000000; 10,000000
671,000000; 5,069920
670,000000; 5,069894
669,000000; 5,069835
668,000000; 5,069738
667,000000; 4,370654
666,000000; 4,768553
665,000000; 5,069531
664,000000; 4,768535
663,000000; 10,000000
662,000000; 5,069416
661,000000; 4,768231
660,000000; 5,069235
659,000000; 4,768109
658,000000; 5,069050
657,000000; 5,068998
656,000000; 5,068935
655,000000; 4,767760
654,000000; 4,767697
653,000000; 4,767623
652,000000; 4,767523
651,000000; 4,591384
650,000000; 4,767427
649,000000; 5,068401
648,000000; 5,068338
647,000000; 5,068331
646,000000; 5,068216
645,000000; 5,068190
644,000000; 10,000000
643,000000; 4,590961
642,000000; 5,068015
641,000000; 5,067982
640,000000; 10,000000
639,000000; 4,766788
638,000000; 10,000000
637,000000; 10,000000
636,000000; 10,000000
635,000000; 4,465513
634,000000; 10,000000
633,000000; 5,067454
632,000000; 5,067439
631,000000; 5,067350
630,000000; 10,000000
629,000000; 5,067238
628,000000; 5,067186
627,000000; 4,465070
626,000000; 5,067160
625,000000; 5,066996
624,000000; 5,066982
623,000000; 5,066907
622,000000; 5,066821
621,000000; 10,000000
620,000000; 5,066691
619,000000; 4,589525
618,000000; 4,765527
617,000000; 5,066430
616,000000; 4,765341
615,000000; 5,066292
614,000000; 5,066233
613,000000; 5,066098
612,000000; 10,000000
611,000000; 4,366961
610,000000; 4,764785
609,000000; 5,065710
608,000000; 4,764550
607,000000; 4,764434
606,000000; 5,065333
605,000000; 5,065206
604,000000; 4,587876
603,000000; 4,462843
602,000000; 4,763645
601,000000; 5,064432
600,000000; 5,064274
599,000000; 4,586846
598,000000; 4,762671
597,000000; 5,063435
596,000000; 4,586081
595,000000; 4,460819
594,000000; 4,585498
593,000000; 4,585216
592,000000; 4,761003
591,000000; 4,760713
590,000000; 5,061483
589,000000; 4,584079
588,000000; 4,583780
587,000000; 4,361641
586,000000; 4,583255
585,000000; 4,458045
584,000000; 4,758885
583,000000; 4,582567
582,000000; 4,582419
581,000000; 4,758291
580,000000; 4,758098
579,000000; 4,360101
578,000000; 4,581893
577,000000; 4,757976
576,000000; 4,757870
575,000000; 5,058881
574,000000; 4,757870
573,000000; 4,581798
572,000000; 4,757923
571,000000; 4,456928
570,000000; 4,757999
569,000000; 4,758109
568,000000; 5,059264
567,000000; 4,758299
566,000000; 4,758390
565,000000; 4,758473
564,000000; 4,758583
563,000000; 4,281507
562,000000; 4,457674
561,000000; 4,457829
560,000000; 4,457863
559,000000; 4,582885
558,000000; 5,060226
557,000000; 4,759377
556,000000; 5,060464
555,000000; 4,583403
554,000000; 5,060660
