nm; A
700,000000; 0,001115
699,000000; 0,001108
698,000000; 0,001092
697,000000; 0,001100
696,000000; 0,001060
695,000000; 0,001069
694,000000; 0,000985
693,000000; 0,000993
692,000000; 0,001033
691,000000; 0,000958
690,000000; 0,001086
689,000000; 0,001066
688,000000; 0,001034
687,000000; 0,000934
686,000000; 0,001002
685,000000; 0,001019
684,000000; 0,000991
683,000000; 0,000955
682,000000; 0,000883
681,000000; 0,000995
680,000000; 0,000975
679,000000; 0,000931
678,000000; 0,000839
677,000000; 0,000895
676,000000; 0,000944
675,000000; 0,000876
674,000000; 0,000836
673,000000; 0,000852
672,000000; 0,000836
671,000000; 0,000932
670,000000; 0,000909
669,000000; 0,000877
668,000000; 0,000885
667,000000; 0,000813
666,000000; 0,000853
665,000000; 0,000797
664,000000; 0,000817
663,000000; 0,000845
662,000000; 0,000770
661,000000; 0,000710
660,000000; 0,000774
659,000000; 0,000738
658,000000; 0,000738
657,000000; 0,000666
656,000000; 0,000694
655,000000; 0,000798
654,000000; 0,000762
653,000000; 0,000743
652,000000; 0,000710
651,000000; 0,000763
650,000000; 0,000630
649,000000; 0,000731
648,000000; 0,000659
647,000000; 0,000683
646,000000; 0,000699
645,000000; 0,000687
644,000000; 0,000671
643,000000; 0,000768
642,000000; 0,000679
641,000000; 0,000760
640,000000; 0,000740
639,000000; 0,000760
638,000000; 0,000869
637,000000; 0,000788
636,000000; 0,000813
635,000000; 0,000841
634,000000; 0,000853
633,000000; 0,000861
632,000000; 0,000841
631,000000; 0,000838
630,000000; 0,000938
629,000000; 0,000894
628,000000; 0,000826
627,000000; 0,000919
626,000000; 0,000931
625,000000; 0,000967
624,000000; 0,000992
623,000000; 0,001044
622,000000; 0,001060
621,000000; 0,001085
620,000000; 0,001113
619,000000; 0,001109
618,000000; 0,001081
617,000000; 0,001069
616,000000; 0,001126
615,000000; 0,001098
614,000000; 0,001119
613,000000; 0,001091
612,000000; 0,001119
611,000000; 0,001123
610,000000; 0,001156
609,000000; 0,001213
608,000000; 0,001165
607,000000; 0,001246
606,000000; 0,001230
605,000000; 0,001247
604,000000; 0,001191
603,000000; 0,001220
602,000000; 0,001265
601,000000; 0,001172
600,000000; 0,001197
599,000000; 0,001222
598,000000; 0,001247
597,000000; 0,001183
596,000000; 0,001232
595,000000; 0,001245
594,000000; 0,001201
593,000000; 0,001332
592,000000; 0,001251
591,000000; 0,001285
590,000000; 0,001294
589,000000; 0,001315
588,000000; 0,001398
587,000000; 0,001329
586,000000; 0,001494
585,000000; 0,001457
584,000000; 0,001499
583,000000; 0,001529
582,000000; 0,001591
581,000000; 0,001624
580,000000; 0,001600
579,000000; 0,001667
578,000000; 0,001712
577,000000; 0,001676
576,000000; 0,001733
575,000000; 0,001890
574,000000; 0,001791
573,000000; 0,001943
572,000000; 0,001873
571,000000; 0,001914
570,000000; 0,001988
569,000000; 0,001988
568,000000; 0,002016
567,000000; 0,002049
566,000000; 0,002044
565,000000; 0,002155
564,000000; 0,002122
563,000000; 0,002154
562,000000; 0,002158
561,000000; 0,002174
560,000000; 0,002141
559,000000; 0,002194
558,000000; 0,002062
557,000000; 0,002045
556,000000; 0,002041
555,000000; 0,002122
554,000000; 0,002163
553,000000; 0,002237
552,000000; 0,002183
551,000000; 0,002335
550,000000; 0,002388
549,000000; 0,002375
548,000000; 0,002486
547,000000; 0,002424
546,000000; 0,002507
545,000000; 0,002511
544,000000; 0,002495
543,000000; 0,002511
542,000000; 0,002643
541,000000; 0,002561
540,000000; 0,002689
539,000000; 0,002595
538,000000; 0,002550
537,000000; 0,002624
536,000000; 0,002698
535,000000; 0,002674
534,000000; 0,002731
533,000000; 0,002687
532,000000; 0,002769
531,000000; 0,002790
530,000000; 0,002872
529,000000; 0,002795
528,000000; 0,003025
527,000000; 0,003021
526,000000; 0,003030
525,000000; 0,003059
524,000000; 0,003096
523,000000; 0,003142
522,000000; 0,003196
521,000000; 0,003159
520,000000; 0,003147
519,000000; 0,003209
518,000000; 0,003176
517,000000; 0,003140
516,000000; 0,003301
515,000000; 0,003190
514,000000; 0,003285
513,000000; 0,003347
512,000000; 0,003344
511,000000; 0,003336
510,000000; 0,003448
509,000000; 0,003490
508,000000; 0,003564
507,000000; 0,003528
506,000000; 0,003516
505,000000; 0,003587
504,000000; 0,003518
503,000000; 0,003621
502,000000; 0,003539
501,000000; 0,003622
500,000000; 0,003586
499,000000; 0,003702
498,000000; 0,003756
497,000000; 0,003658
496,000000; 0,003717
495,000000; 0,003771
494,000000; 0,003841
493,000000; 0,003876
492,000000; 0,003806
491,000000; 0,003910
490,000000; 0,003856
489,000000; 0,003940
488,000000; 0,004078
487,000000; 0,004025
486,000000; 0,004138
485,000000; 0,004188
484,000000; 0,004185
483,000000; 0,004219
482,000000; 0,004208
