nm; A
700,000000; 0,002726
699,000000; 0,002766
698,000000; 0,002771
697,000000; 0,002784
696,000000; 0,002720
695,000000; 0,002841
694,000000; 0,002753
693,000000; 0,002754
692,000000; 0,002762
691,000000; 0,002823
690,000000; 0,002904
689,000000; 0,002828
688,000000; 0,002869
687,000000; 0,002854
686,000000; 0,002846
685,000000; 0,002931
684,000000; 0,002899
683,000000; 0,002879
682,000000; 0,002871
681,000000; 0,002903
680,000000; 0,002884
679,000000; 0,002828
678,000000; 0,002865
677,000000; 0,002813
676,000000; 0,002869
675,000000; 0,002946
674,000000; 0,002943
673,000000; 0,002887
672,000000; 0,002932
671,000000; 0,002952
670,000000; 0,003013
669,000000; 0,002925
668,000000; 0,003018
667,000000; 0,003007
666,000000; 0,002980
665,000000; 0,002960
664,000000; 0,002948
663,000000; 0,003049
662,000000; 0,002925
661,000000; 0,002910
660,000000; 0,002922
659,000000; 0,003003
658,000000; 0,002987
657,000000; 0,002948
656,000000; 0,002968
655,000000; 0,003017
654,000000; 0,003038
653,000000; 0,002994
652,000000; 0,003035
651,000000; 0,003079
650,000000; 0,002943
649,000000; 0,003032
648,000000; 0,003028
647,000000; 0,003065
646,000000; 0,002965
645,000000; 0,003034
644,000000; 0,003094
643,000000; 0,003083
642,000000; 0,003063
641,000000; 0,003116
640,000000; 0,003149
639,000000; 0,003169
638,000000; 0,003190
637,000000; 0,003134
636,000000; 0,003151
635,000000; 0,003289
634,000000; 0,003204
633,000000; 0,003249
632,000000; 0,003221
631,000000; 0,003254
630,000000; 0,003335
629,000000; 0,003227
628,000000; 0,003296
627,000000; 0,003325
626,000000; 0,003345
625,000000; 0,003375
624,000000; 0,003407
623,000000; 0,003420
622,000000; 0,003485
621,000000; 0,003547
620,000000; 0,003507
619,000000; 0,003568
618,000000; 0,003545
617,000000; 0,003566
616,000000; 0,003611
615,000000; 0,003652
614,000000; 0,003645
613,000000; 0,003601
612,000000; 0,003667
611,000000; 0,003680
610,000000; 0,003705
609,000000; 0,003719
608,000000; 0,003712
607,000000; 0,003794
606,000000; 0,003816
605,000000; 0,003821
604,000000; 0,003794
603,000000; 0,003824
602,000000; 0,003891
601,000000; 0,003901
600,000000; 0,003842
599,000000; 0,003860
598,000000; 0,003923
597,000000; 0,003946
596,000000; 0,003944
595,000000; 0,004082
594,000000; 0,004035
593,000000; 0,004181
592,000000; 0,004028
591,000000; 0,004207
590,000000; 0,004160
589,000000; 0,004216
588,000000; 0,004272
587,000000; 0,004267
586,000000; 0,004356
585,000000; 0,004408
584,000000; 0,004431
583,000000; 0,004383
582,000000; 0,004501
581,000000; 0,004544
580,000000; 0,004562
579,000000; 0,004613
578,000000; 0,004626
577,000000; 0,004653
576,000000; 0,004686
575,000000; 0,004735
574,000000; 0,004728
573,000000; 0,004769
572,000000; 0,004794
571,000000; 0,004900
570,000000; 0,004876
569,000000; 0,004924
568,000000; 0,004940
567,000000; 0,004965
566,000000; 0,005009
565,000000; 0,005021
564,000000; 0,005078
563,000000; 0,005118
562,000000; 0,005192
561,000000; 0,005224
560,000000; 0,005203
559,000000; 0,005273
558,000000; 0,005258
557,000000; 0,005302
556,000000; 0,005268
555,000000; 0,005375
554,000000; 0,005374
553,000000; 0,005402
552,000000; 0,005415
551,000000; 0,005410
550,000000; 0,005442
549,000000; 0,005590
548,000000; 0,005589
547,000000; 0,005569
546,000000; 0,005607
545,000000; 0,005640
544,000000; 0,005624
543,000000; 0,005629
542,000000; 0,005777
541,000000; 0,005693
540,000000; 0,005783
539,000000; 0,005739
538,000000; 0,005764
537,000000; 0,005827
536,000000; 0,005922
535,000000; 0,005815
534,000000; 0,005944
533,000000; 0,005829
532,000000; 0,005969
531,000000; 0,005999
530,000000; 0,006049
529,000000; 0,005902
528,000000; 0,006025
527,000000; 0,006117
526,000000; 0,006064
525,000000; 0,006160
524,000000; 0,006078
523,000000; 0,006244
522,000000; 0,006216
521,000000; 0,006266
520,000000; 0,006259
519,000000; 0,006226
518,000000; 0,006347
517,000000; 0,006335
516,000000; 0,006390
515,000000; 0,006420
514,000000; 0,006441
513,000000; 0,006538
512,000000; 0,006563
511,000000; 0,006594
510,000000; 0,006649
509,000000; 0,006637
508,000000; 0,006696
507,000000; 0,006739
506,000000; 0,006786
505,000000; 0,006807
504,000000; 0,006810
503,000000; 0,006839
502,000000; 0,006845
501,000000; 0,006866
500,000000; 0,006872
499,000000; 0,007044
498,000000; 0,007044
497,000000; 0,007050
496,000000; 0,007106
495,000000; 0,007115
494,000000; 0,007266
493,000000; 0,007251
492,000000; 0,007227
491,000000; 0,007358
490,000000; 0,007249
489,000000; 0,007477
488,000000; 0,007465
487,000000; 0,007501
486,000000; 0,007469
485,000000; 0,007608
484,000000; 0,007610
483,000000; 0,007683
482,000000; 0,007676
481,000000; 0,007687
480,000000; 0,007788
479,000000; 0,007862
478,000000; 0,007909
477,000000; 0,007999
476,000000; 0,008027
475,000000; 0,008124
474,000000; 0,008142
473,000000; 0,008232
472,000000; 0,008285
471,000000; 0,008287
470,000000; 0,008310
469,000000; 0,008312
468,000000; 0,008342
467,000000; 0,008569
466,000000; 0,008688
465,000000; 0,008628
464,000000; 0,008727
463,000000; 0,008817
462,000000; 0,008895
461,000000; 0,008885
460,000000; 0,008992
459,000000; 0,009057
458,000000; 0,009183
457,000000; 0,009233
456,000000; 0,009217
455,000000; 0,009332
454,000000; 0,009447
453,000000; 0,009524
452,000000; 0,009546
451,000000; 0,009589
450,000000; 0,009794
449,000000; 0,009753
448,000000; 0,009935
447,000000; 0,009867
446,000000; 0,010005
445,000000; 0,010118
444,000000; 0,010313
443,000000; 0,010283
442,000000; 0,010589
441,000000; 0,010586
440,000000; 0,010589
439,000000; 0,010599
438,000000; 0,010778
437,000000; 0,010929
436,000000; 0,010903
435,000000; 0,011060
434,000000; 0,011069
433,000000; 0,011010
432,000000; 0,011181
431,000000; 0,011266
430,000000; 0,011406
429,000000; 0,011437
428,000000; 0,011472
427,000000; 0,011656
