nm; A
700,000000; 0,294577
699,000000; 0,296088
698,000000; 0,297688
697,000000; 0,299286
696,000000; 0,300835
695,000000; 0,302494
694,000000; 0,304064
693,000000; 0,305729
692,000000; 0,307409
691,000000; 0,309149
690,000000; 0,310884
689,000000; 0,312642
688,000000; 0,314370
687,000000; 0,315984
686,000000; 0,317806
685,000000; 0,319531
684,000000; 0,321237
683,000000; 0,323120
682,000000; 0,324916
681,000000; 0,326729
680,000000; 0,328565
679,000000; 0,330313
678,000000; 0,332066
677,000000; 0,333956
676,000000; 0,335910
675,000000; 0,337766
674,000000; 0,339720
673,000000; 0,341709
672,000000; 0,343588
671,000000; 0,345498
670,000000; 0,347385
669,000000; 0,349320
668,000000; 0,351405
667,000000; 0,353256
666,000000; 0,355304
665,000000; 0,357302
664,000000; 0,359341
663,000000; 0,361519
662,000000; 0,363572
661,000000; 0,365697
660,000000; 0,367805
659,000000; 0,369911
658,000000; 0,372068
657,000000; 0,374178
656,000000; 0,376404
655,000000; 0,378482
654,000000; 0,380750
653,000000; 0,382972
652,000000; 0,385185
651,000000; 0,387466
650,000000; 0,389608
649,000000; 0,391938
648,000000; 0,394178
647,000000; 0,396562
646,000000; 0,398822
645,000000; 0,401279
644,000000; 0,403648
643,000000; 0,406081
642,000000; 0,408382
641,000000; 0,410895
640,000000; 0,413314
639,000000; 0,415825
638,000000; 0,418252
637,000000; 0,420721
636,000000; 0,423261
635,000000; 0,425916
634,000000; 0,428500
633,000000; 0,431045
632,000000; 0,433718
631,000000; 0,436414
630,000000; 0,439138
629,000000; 0,441837
628,000000; 0,444500
627,000000; 0,447271
626,000000; 0,450076
625,000000; 0,452887
624,000000; 0,455711
623,000000; 0,458648
622,000000; 0,461479
621,000000; 0,464374
620,000000; 0,467248
619,000000; 0,470302
618,000000; 0,473122
617,000000; 0,476115
616,000000; 0,479263
615,000000; 0,482305
614,000000; 0,485358
613,000000; 0,488517
612,000000; 0,491641
611,000000; 0,494899
610,000000; 0,498099
609,000000; 0,501290
608,000000; 0,504540
607,000000; 0,507908
606,000000; 0,511281
605,000000; 0,514688
