nm; A
700,000000; 0,359591
699,000000; 0,359315
698,000000; 0,359184
697,000000; 0,358958
696,000000; 0,358801
695,000000; 0,358718
694,000000; 0,358491
693,000000; 0,358437
692,000000; 0,358279
691,000000; 0,358121
690,000000; 0,358029
689,000000; 0,357902
688,000000; 0,357710
687,000000; 0,357530
686,000000; 0,357471
685,000000; 0,357251
684,000000; 0,357335
683,000000; 0,355332
682,000000; 0,354721
681,000000; 0,354432
680,000000; 0,354375
679,000000; 0,354317
678,000000; 0,354086
677,000000; 0,354068
676,000000; 0,354027
675,000000; 0,353848
674,000000; 0,353684
673,000000; 0,353461
672,000000; 0,353423
671,000000; 0,353291
670,000000; 0,353189
669,000000; 0,352902
668,000000; 0,352917
667,000000; 0,352616
666,000000; 0,352430
665,000000; 0,352400
664,000000; 0,352139
663,000000; 0,352169
662,000000; 0,351990
661,000000; 0,351818
660,000000; 0,351745
659,000000; 0,351489
658,000000; 0,351453
657,000000; 0,351259
656,000000; 0,351186
655,000000; 0,351079
654,000000; 0,350892
653,000000; 0,350796
652,000000; 0,350693
651,000000; 0,350524
650,000000; 0,350335
649,000000; 0,350235
648,000000; 0,350147
647,000000; 0,350106
646,000000; 0,349913
645,000000; 0,349952
644,000000; 0,349937
643,000000; 0,349825
642,000000; 0,349703
641,000000; 0,349589
640,000000; 0,349458
639,000000; 0,349346
638,000000; 0,349205
637,000000; 0,349109
636,000000; 0,348960
635,000000; 0,348917
634,000000; 0,348754
633,000000; 0,348646
632,000000; 0,348413
631,000000; 0,348241
630,000000; 0,348217
629,000000; 0,347960
628,000000; 0,347861
627,000000; 0,347740
626,000000; 0,347561
625,000000; 0,347454
624,000000; 0,347303
623,000000; 0,347248
622,000000; 0,347047
621,000000; 0,347007
620,000000; 0,346837
619,000000; 0,346775
618,000000; 0,346670
617,000000; 0,346642
616,000000; 0,346543
615,000000; 0,346435
614,000000; 0,346286
613,000000; 0,346213
612,000000; 0,346180
611,000000; 0,345987
610,000000; 0,345957
609,000000; 0,345764
608,000000; 0,345517
607,000000; 0,345438
606,000000; 0,345234
605,000000; 0,345064
604,000000; 0,344878
603,000000; 0,344851
602,000000; 0,344683
601,000000; 0,344490
600,000000; 0,344320
599,000000; 0,344160
598,000000; 0,343962
597,000000; 0,343747
596,000000; 0,343590
595,000000; 0,343417
594,000000; 0,343187
593,000000; 0,343052
592,000000; 0,342811
