nm; A
700,000000; 0,014141
699,000000; 0,014209
698,000000; 0,014216
697,000000; 0,014272
696,000000; 0,014251
695,000000; 0,014368
694,000000; 0,014365
693,000000; 0,014324
692,000000; 0,014465
691,000000; 0,014538
690,000000; 0,014606
689,000000; 0,014616
688,000000; 0,014641
687,000000; 0,014669
686,000000; 0,014724
685,000000; 0,014757
684,000000; 0,014867
683,000000; 0,014853
682,000000; 0,014931
681,000000; 0,014963
680,000000; 0,014997
679,000000; 0,015049
678,000000; 0,015003
677,000000; 0,015124
676,000000; 0,015229
675,000000; 0,015297
674,000000; 0,015236
673,000000; 0,015317
672,000000; 0,015393
671,000000; 0,015426
670,000000; 0,015437
669,000000; 0,015437
668,000000; 0,015529
667,000000; 0,015572
666,000000; 0,015521
665,000000; 0,015798
664,000000; 0,015729
663,000000; 0,015908
662,000000; 0,015805
661,000000; 0,015883
660,000000; 0,015969
659,000000; 0,016018
658,000000; 0,016139
657,000000; 0,016093
656,000000; 0,016215
655,000000; 0,016329
654,000000; 0,016350
653,000000; 0,016387
652,000000; 0,016517
651,000000; 0,016540
650,000000; 0,016487
649,000000; 0,016622
648,000000; 0,016595
647,000000; 0,016646
646,000000; 0,016741
645,000000; 0,016759
644,000000; 0,016885
643,000000; 0,016875
642,000000; 0,016945
641,000000; 0,017063
640,000000; 0,017059
639,000000; 0,017243
638,000000; 0,017262
637,000000; 0,017312
636,000000; 0,017308
635,000000; 0,017438
634,000000; 0,017466
633,000000; 0,017532
632,000000; 0,017665
631,000000; 0,017609
630,000000; 0,017785
629,000000; 0,017786
628,000000; 0,017806
627,000000; 0,017924
626,000000; 0,018014
625,000000; 0,018063
624,000000; 0,018183
623,000000; 0,018252
622,000000; 0,018301
621,000000; 0,018408
620,000000; 0,018391
619,000000; 0,018565
618,000000; 0,018542
617,000000; 0,018579
616,000000; 0,018660
615,000000; 0,018724
614,000000; 0,018792
613,000000; 0,018793
612,000000; 0,018964
611,000000; 0,018932
610,000000; 0,019084
609,000000; 0,019097
608,000000; 0,019167
607,000000; 0,019193
606,000000; 0,019314
605,000000; 0,019325
604,000000; 0,019484
603,000000; 0,019551
602,000000; 0,019736
601,000000; 0,019764
600,000000; 0,019872
599,000000; 0,019987
598,000000; 0,020083
597,000000; 0,020108
596,000000; 0,020293
595,000000; 0,020423
594,000000; 0,020505
593,000000; 0,020665
592,000000; 0,020689
591,000000; 0,020884
590,000000; 0,020921
589,000000; 0,021054
588,000000; 0,021199
587,000000; 0,021257
586,000000; 0,021340
585,000000; 0,021532
584,000000; 0,021639
583,000000; 0,021650
582,000000; 0,021818
581,000000; 0,021835
580,000000; 0,022016
579,000000; 0,022013
578,000000; 0,022223
577,000000; 0,022274
576,000000; 0,022387
575,000000; 0,022541
574,000000; 0,022604
573,000000; 0,022710
572,000000; 0,022785
571,000000; 0,022948
570,000000; 0,023034
569,000000; 0,023181
568,000000; 0,023248
567,000000; 0,023396
566,000000; 0,023442
565,000000; 0,023576
564,000000; 0,023680
563,000000; 0,023860
562,000000; 0,023892
561,000000; 0,024039
560,000000; 0,024124
559,000000; 0,024212
558,000000; 0,024260
557,000000; 0,024412
556,000000; 0,024516
555,000000; 0,024637
554,000000; 0,024720
553,000000; 0,024909
552,000000; 0,024869
551,000000; 0,025042
550,000000; 0,025214
549,000000; 0,025267
548,000000; 0,025431
547,000000; 0,025525
546,000000; 0,025604
545,000000; 0,025759
544,000000; 0,025824
543,000000; 0,025948
542,000000; 0,026194
541,000000; 0,026212
540,000000; 0,026409
539,000000; 0,026533
538,000000; 0,026631
537,000000; 0,026797
536,000000; 0,026958
535,000000; 0,027084
534,000000; 0,027160
533,000000; 0,027296
532,000000; 0,027472
531,000000; 0,027637
530,000000; 0,027831
529,000000; 0,027895
528,000000; 0,028100
527,000000; 0,028260
526,000000; 0,028283
525,000000; 0,028515
524,000000; 0,028618
523,000000; 0,028766
522,000000; 0,028931
521,000000; 0,029130
520,000000; 0,029239
519,000000; 0,029430
518,000000; 0,029604
517,000000; 0,029736
516,000000; 0,029928
515,000000; 0,030068
514,000000; 0,030324
513,000000; 0,030482
512,000000; 0,030644
511,000000; 0,030781
510,000000; 0,030984
509,000000; 0,031056
508,000000; 0,031316
507,000000; 0,031612
506,000000; 0,031717
505,000000; 0,032001
504,000000; 0,032027
503,000000; 0,032270
502,000000; 0,032412
501,000000; 0,032631
500,000000; 0,032771
499,000000; 0,033053
498,000000; 0,033260
497,000000; 0,033459
496,000000; 0,033601
495,000000; 0,033889
494,000000; 0,033987
493,000000; 0,034219
492,000000; 0,034402
491,000000; 0,034638
490,000000; 0,034890
489,000000; 0,035073
488,000000; 0,035327
487,000000; 0,035397
486,000000; 0,035627
485,000000; 0,035811
484,000000; 0,036020
483,000000; 0,036233
482,000000; 0,036440
481,000000; 0,036597
